cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0,356.5,71,0.0,1.25,-0.0062,tilt
0,0.0,424.49,75,0.0,1.38,-0.0103,tilt
0,0.0,361.7,76,0.0,1.3,-0.0107,tilt
0,0.0,325.25,77,0.0,1.382,-0.0091,tilt
0,0.0,356.54,77,0.0,1.265,-0.0078,tilt
0,0.0,347.19,77,0.0,1.301,-0.0088,tilt
0,0.0082,347.82,79,0.0,1.426,0.0082,tilt
0,0.0503,503.37,79,0.02,0.919,0.0503,tilt
0,0.0526,515.17,81,0.04,0.969,0.0526,tilt
0,0.0,321.13,81,0.0,1.448,-0.0069,tilt
0,0.0537,552.01,81,0.02,0.971,0.0537,tilt
0,0.0507,547.52,83,0.04,0.896,0.0507,tilt
0,0.0536,556.79,85,0.06,1.065,0.0536,tilt
0,0.0505,558.09,86,0.02,1.255,0.0505,tilt
0,0.0517,493.97,87,0.06,1.522,0.0515,tilt
0,0.0375,543.23,88,0.0,1.185,0.0375,goal_reached
0,0.0509,583.46,88,0.02,1.199,0.0509,tilt
0,0.0503,591.59,88,0.02,1.217,0.0503,tilt
0,0.0687,598.76,89,0.06,1.263,0.0687,propeller_collision
0,0.064,597.93,89,0.04,0.942,0.064,tilt
0,0.1311,583.39,90,0.1,1.201,0.1311,tilt
0,0.0524,552.41,92,0.06,1.598,0.0524,tilt
0,0.0564,532.97,92,0.12,1.671,0.0519,tilt
0,0.0522,557.88,93,0.06,1.607,0.0522,tilt
0,0.0518,520.99,93,0.04,1.617,0.0518,tilt
0,0.0357,484.85,94,0.0,1.587,0.0357,tilt
0,0.0629,633.99,95,0.14,1.483,0.05,tilt
0,0.0711,500.22,96,0.06,1.482,0.0711,tilt
0,0.0547,522.26,96,0.12,1.758,0.0515,tilt
0,0.1343,650.31,97,0.12,1.38,0.1343,tilt
0,0.1332,601.41,97,0.14,1.588,0.1332,tilt
0,0.1332,601.41,97,0.14,1.588,0.1332,tilt
0,0.0674,601.02,97,0.14,1.752,0.0622,tilt
0,0.0512,660.63,98,0.02,1.41,0.0512,tilt
0,0.0526,526.57,99,0.1,1.671,0.0523,tilt
0,0.1144,634.63,100,0.22,1.327,0.1144,tilt
0,0.1129,493.91,101,0.36,1.748,0.1129,tilt
0,0.0554,675.96,101,0.04,1.489,0.0554,tilt
0,0.1118,630.53,102,0.26,1.55,0.1118,tilt
0,0.0527,613.03,102,0.06,1.773,0.0527,tilt
0,0.111,596.39,103,0.28,1.507,0.111,tilt
0,0.1128,603.18,103,0.32,1.734,0.1128,tilt
