cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0,285.31,40,0.0,0.56,-0.0082,tilt
0,0.0,290.37,40,0.0,0.585,-0.0017,tilt
0,0.0,360.44,51,0.0,0.863,-0.0059,tilt
0,0.0012,437.38,64,0.0,1.27,0.0012,tilt
0,0.0626,684.64,96,0.26,1.413,0.0452,goal_reached
1,0.0975,694.72,101,0.86,1.984,0.0792,goal_reached
0,0.0399,736.68,104,0.22,1.496,0.0374,goal_reached
0,0.051,734.93,105,0.14,2.097,0.051,tilt
0,0.0476,737.81,106,0.1,1.92,0.0476,goal_reached
0,0.0787,761.19,107,0.08,1.833,0.0787,tilt
0,0.0126,775.49,108,0.0,1.449,0.0126,goal_reached
0,0.0379,793.22,109,0.16,1.483,0.0375,goal_reached
0,0.0675,807.03,112,0.38,1.6,0.0675,tilt
0,0.0716,856.75,116,0.38,1.389,0.0716,tilt
0,0.043,823.59,116,0.14,1.939,0.0365,goal_reached
0,0.0679,878.27,124,0.44,2.124,0.0679,tilt
1,0.0754,921.51,127,1.02,1.685,0.0752,goal_reached
0,0.0462,934.57,129,0.16,1.856,0.0428,goal_reached
0,0.0733,909.81,130,0.44,2.285,0.0733,tilt
1,0.0472,967.53,131,0.62,1.477,0.0375,goal_reached
1,0.0726,975.15,132,0.56,1.473,0.0726,tilt
1,0.0496,958.02,133,0.68,1.87,0.0364,goal_reached
1,0.0509,1018.92,141,0.5,1.99,0.0466,goal_reached
0,0.0,296.66,41,0.0,0.571,-0.0047,tilt
1,0.072,1040.06,144,1.08,1.975,0.072,goal_reached
0,0.0,277.42,38,0.0,0.491,-0.0068,tilt
1,0.0785,1029.94,148,0.92,2.587,0.076,goal_reached
1,0.0578,1120.92,151,0.5,1.594,0.0458,goal_reached
0,0.0416,1143.84,152,0.4,1.396,0.039,goal_reached
1,0.1073,1101.5,154,1.38,2.186,0.1073,tilt
0,0.0475,1191.81,159,0.38,1.632,0.0433,goal_reached
1,0.082,1180.15,164,1.12,2.308,0.0767,goal_reached
1,0.0894,1200.35,165,1.52,2.096,0.0863,goal_reached
1,0.0583,1238.85,166,0.9,1.573,0.0583,goal_reached
1,0.0785,1185.07,166,1.2,2.585,0.0785,goal_reached
1,0.0733,1219.22,167,0.9,2.062,0.0733,tilt
1,0.0486,1239.84,171,0.56,2.158,0.0183,goal_reached
