cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0,329.31,50,0.0,0.31,-0.009,tilt
0,0.0,330.95,51,0.0,0.397,-0.0109,tilt
0,0.0,366.41,56,0.0,0.392,-0.0106,tilt
0,0.0,399.95,62,0.0,0.58,-0.0073,tilt
0,0.0476,475.46,75,0.16,0.961,0.0171,goal_reached
0,0.0118,531.86,80,0.0,0.64,0.0118,tilt
0,0.0234,532.79,83,0.0,1.066,0.0051,goal_reached
0,0.0148,544.6,84,0.0,1.025,0.0049,goal_reached
0,0.0308,558.03,84,0.0,0.741,0.0308,tilt
0,0.0472,544.89,85,0.14,1.009,0.0096,goal_reached
0,0.0159,557.74,86,0.0,1.048,0.0036,goal_reached
0,0.0403,560.53,87,0.1,1.057,0.0037,goal_reached
0,0.0211,566.75,87,0.0,0.98,-0.0033,goal_reached
0,0.0677,557.35,87,0.28,1.066,0.0218,goal_reached
0,0.0328,572.61,88,0.04,1.05,-0.0007,goal_reached
0,0.0379,563.82,90,0.1,1.339,0.0049,goal_reached
0,0.0351,584.62,92,0.06,1.301,0.0116,goal_reached
0,0.0007,617.43,94,0.0,0.954,-0.0025,goal_reached
0,0.0624,629.39,94,0.22,0.857,0.0387,tilt
0,0.0598,643.12,98,0.06,1.097,0.0598,goal_reached
0,0.0309,610.3,98,0.0,1.427,0.0131,goal_reached
0,0.0536,610.19,99,0.16,1.497,0.0456,goal_reached
0,0.0255,632.64,99,0.0,1.331,0.0037,goal_reached
0,0.0445,637.23,101,0.14,1.331,0.0312,goal_reached
0,0.0282,634.86,101,0.0,1.475,0.0059,goal_reached
0,0.0239,638.74,102,0.0,1.623,0.0005,goal_reached
0,0.0889,650.87,103,0.22,1.33,0.0771,goal_reached
0,0.0784,676.47,105,0.34,1.492,0.0377,goal_reached
0,0.0946,704.84,107,0.26,1.382,0.0787,tilt
0,0.0733,686.08,107,0.32,1.605,0.0409,goal_reached
