cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0,272.79,38,0.0,0.499,-0.0095,tilt
0,0.0,411.89,59,0.0,1.075,-0.0067,tilt
0,0.0008,596.93,81,0.0,1.097,-0.005,goal_reached
0,0.0,635.78,87,0.0,1.145,-0.0067,goal_reached
0,0.0017,648.63,88,0.0,1.147,0.0017,goal_reached
0,0.0,638.24,89,0.0,1.477,-0.013,goal_reached
0,0.0105,671.54,92,0.0,1.258,0.0029,goal_reached
0,0.0,697.01,94,0.0,1.135,-0.0081,goal_reached
0,0.0,690.79,95,0.0,1.25,-0.008,goal_reached
0,0.0,691.97,96,0.0,1.54,-0.0114,goal_reached
0,0.0016,701.35,98,0.0,1.398,0.0016,goal_reached
0,0.0162,720.42,100,0.0,1.543,-0.0024,goal_reached
0,0.0,731.94,100,0.0,1.22,-0.0106,goal_reached
0,0.047,736.48,102,0.14,1.477,0.047,tilt
0,0.0056,746.77,103,0.0,1.471,-0.0106,goal_reached
0,0.0284,754.15,104,0.32,1.519,0.0225,goal_reached
0,0.057,762.73,107,0.22,1.65,0.0189,goal_reached
0,0.0278,761.72,108,0.08,1.938,0.0213,goal_reached
0,0.0194,794.58,109,0.0,1.559,0.0191,goal_reached
0,0.0061,806.79,111,0.0,1.479,-0.0019,goal_reached
0,0.0403,803.49,112,0.2,1.805,0.0403,goal_reached
0,0.0,807.66,112,0.0,1.568,-0.0058,goal_reached
0,0.0488,855.85,119,0.12,1.751,0.0488,tilt
0,0.0033,877.21,119,0.0,1.523,0.0033,goal_reached
0,0.0256,881.63,123,0.1,1.982,0.0217,goal_reached
0,0.0205,934.56,127,0.0,1.459,0.0192,goal_reached
0,0.0525,897.74,128,0.16,2.318,0.0525,tilt
0,0.0261,944.69,131,0.18,1.949,0.0216,goal_reached
1,0.111,952.39,136,1.24,2.3,0.111,goal_reached
0,0.0269,990.71,137,0.22,1.98,0.0249,goal_reached
0,0.0531,1001.31,139,0.26,2.069,0.0531,tilt
0,0.0,268.07,37,0.0,0.526,-0.0033,tilt
1,0.142,1045.26,148,1.46,2.546,0.142,tilt
1,0.0555,1061.71,148,0.76,2.388,0.0531,goal_reached
0,0.0482,1124.38,153,0.42,1.885,0.0482,tilt
0,0.0013,1181.22,157,0.0,1.465,0.0013,goal_reached
1,0.057,1170.79,159,0.78,2.042,0.0532,goal_reached
0,0.0244,1200.18,162,0.04,1.973,0.0231,goal_reached
1,0.0881,1150.51,162,1.3,2.395,0.0802,goal_reached
0,0.053,1179.09,163,0.3,2.089,0.053,tilt
0,0.0197,1250.81,169,0.0,1.87,0.0123,goal_reached
0,0.021,1306.36,172,0.0,1.276,0.0089,goal_reached
1,0.1089,1248.17,178,1.5,3.226,0.1089,goal_reached
0,0.0062,607.4,83,0.0,1.122,-0.003,goal_reached
0,0.0405,617.19,87,0.12,1.508,0.0192,goal_reached
0,0.0019,1042.3,141,0.0,1.505,0.0015,goal_reached
0,0.0005,563.07,78,0.0,1.092,0.0005,goal_reached
0,0.0018,687.4,95,0.0,1.496,0.0018,goal_reached
1,0.0677,1369.0,185,1.68,2.213,0.0631,goal_reached
1,0.0823,1328.19,187,1.64,2.825,0.0773,goal_reached
0,0.0453,1377.19,189,0.14,2.171,0.0453,tilt
0,0.0008,769.14,107,0.0,1.716,0.0008,goal_reached
1,0.1134,1395.55,192,1.6,2.658,0.1134,tilt
0,0.0055,724.0,102,0.0,1.747,0.0055,goal_reached
1,0.0873,1417.41,195,1.9,2.618,0.0823,goal_reached
1,0.1101,1390.69,195,1.8,2.893,0.1101,tilt
0,0.0044,686.07,94,0.0,1.318,0.0044,goal_reached
0,0.0,244.89,33,0.0,0.368,-0.0059,tilt
0,0.0137,730.36,101,0.0,1.492,0.0137,goal_reached
1,0.0991,1458.12,201,2.12,2.656,0.0966,goal_reached
0,0.0,711.59,100,0.0,1.699,-0.0066,goal_reached
0,0.0237,862.23,118,0.0,1.543,0.0237,goal_reached
1,0.0887,1532.58,207,1.96,2.284,0.0829,goal_reached
0,0.0,799.81,109,0.0,1.451,-0.0035,goal_reached
0,0.002,698.12,98,0.0,1.61,0.002,goal_reached
0,0.0267,1610.01,215,0.22,2.294,0.0171,goal_reached
0,0.0334,527.3,75,0.1,1.235,0.0025,goal_reached
0,0.0008,741.28,104,0.0,1.723,-0.004,goal_reached
0,0.0,652.21,89,0.0,1.222,-0.0042,goal_reached
1,0.0809,1600.44,222,2.06,2.997,0.0614,goal_reached
1,0.0767,1642.15,222,2.48,2.367,0.0619,goal_reached
0,0.0536,753.25,104,0.14,1.48,0.0536,tilt
0,0.042,639.83,90,0.06,1.499,0.042,goal_reached
1,0.0967,1660.04,230,1.26,2.942,0.0967,tilt
1,0.0591,1041.13,143,0.98,2.081,0.0497,goal_reached
0,0.0275,623.38,86,0.02,1.263,0.0275,goal_reached
0,0.0208,808.24,114,0.0,2.001,0.017,goal_reached
0,0.0,296.03,41,0.0,0.609,-0.0048,tilt
0,0.0314,872.1,119,0.34,1.573,0.0245,goal_reached
0,0.0,758.73,103,0.0,1.336,-0.0056,goal_reached
0,0.0361,1042.41,142,0.26,1.866,0.0361,goal_reached
0,0.0286,777.74,106,0.08,1.466,0.0042,goal_reached
0,0.0,663.18,92,0.0,1.452,-0.0101,goal_reached
1,0.08,1126.7,160,0.74,2.822,0.08,goal_reached
0,0.0425,658.45,90,0.08,1.166,0.0425,goal_reached
0,0.01,354.14,50,0.0,0.841,0.01,tilt
0,0.0458,816.22,114,0.28,1.816,0.0208,goal_reached
0,0.001,688.75,96,0.0,1.501,-0.012,goal_reached
0,0.0044,698.83,96,0.0,1.326,-0.0117,goal_reached
0,0.0481,1175.98,159,0.38,1.692,0.0481,tilt
0,0.0288,1208.34,165,0.22,2.038,0.0228,goal_reached
0,0.0029,576.99,79,0.0,1.094,-0.0121,goal_reached
0,0.0016,734.55,103,0.0,1.702,0.0016,goal_reached
0,0.011,586.67,82,0.0,1.388,-0.0052,goal_reached
0,0.0045,821.58,112,0.0,1.502,0.0027,goal_reached
0,0.0329,940.72,133,0.2,2.218,0.0238,goal_reached
0,0.0162,749.45,103,0.0,1.486,0.0162,goal_reached
