cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0309,539.77,85,0.0,1.049,0.0091,goal_reached
0,0.0,581.89,94,0.0,1.304,-0.007,tilt
0,0.0422,610.84,94,0.02,1.184,0.0422,goal_reached
0,0.0138,637.49,95,0.0,0.832,0.0138,tilt
0,0.0411,621.01,95,0.02,1.224,0.0411,tilt
0,0.0147,616.93,97,0.0,1.284,0.01,goal_reached
0,0.0102,617.18,97,0.0,1.204,0.0081,goal_reached
0,0.0198,635.55,98,0.0,1.265,0.0198,goal_reached
0,0.0341,625.1,98,0.0,1.335,0.0341,goal_reached
0,0.0191,642.61,102,0.0,1.369,0.0134,goal_reached
0,0.1566,680.34,104,0.22,1.299,0.154,tilt
0,0.0191,700.56,104,0.0,0.824,0.0191,tilt
0,0.0193,662.88,104,0.0,1.449,0.0193,goal_reached
0,0.1165,685.5,105,0.24,1.275,0.1108,tilt
0,0.0337,674.86,106,0.0,1.431,0.01,goal_reached
0,0.0374,708.67,108,0.0,1.335,0.0374,tilt
0,0.0725,691.5,109,0.22,1.42,0.0172,goal_reached
0,0.0305,718.89,110,0.0,1.035,0.0305,tilt
0,0.0512,699.19,110,0.14,1.389,0.0092,goal_reached
0,0.0327,713.49,112,0.0,1.411,0.007,goal_reached
0,0.0393,715.68,112,0.0,1.531,0.0393,goal_reached
0,0.1084,741.36,113,0.26,1.408,0.0933,tilt
0,0.0293,725.23,114,0.0,1.607,0.0293,goal_reached
0,0.0125,726.09,115,0.0,1.465,0.0111,goal_reached
0,0.0227,742.14,116,0.0,1.361,0.0068,goal_reached
0,0.0348,747.64,118,0.0,1.714,0.0348,goal_reached
0,0.046,764.52,120,0.02,1.695,0.046,goal_reached
0,0.0896,833.89,121,0.4,1.218,0.0896,tilt
0,0.0175,755.06,121,0.0,1.73,0.0068,goal_reached
0,0.0599,787.31,122,0.04,1.533,0.0599,goal_reached
0,0.1121,791.24,123,0.16,1.744,0.1121,goal_reached
0,0.0879,796.85,123,0.24,1.483,0.0387,tilt
0,0.0642,822.21,126,0.34,1.589,0.061,goal_reached
0,0.0787,847.59,129,0.34,1.598,0.0598,goal_reached
0,0.0329,866.69,134,0.0,1.694,0.0329,goal_reached
0,0.0924,862.64,134,0.28,1.873,0.0924,tilt
0,0.0625,888.25,135,0.32,1.606,0.0581,goal_reached
0,0.071,879.62,135,0.32,1.666,0.0639,goal_reached
0,0.0935,872.83,135,0.24,1.8,0.0935,propeller_collision
0,0.1237,874.6,136,0.44,1.699,0.1237,tilt
0,0.1237,874.6,136,0.44,1.699,0.1237,tilt
0,0.0626,906.18,138,0.26,1.741,0.0574,goal_reached
0,0.0396,906.97,138,0.0,1.741,0.0396,tilt
0,0.0291,884.22,138,0.0,1.799,0.0291,goal_reached
0,0.089,894.26,138,0.34,1.79,0.089,tilt
0,0.0741,908.24,139,0.32,1.794,0.0579,goal_reached
0,0.0831,910.94,141,0.36,1.858,0.0573,goal_reached
1,0.1129,962.48,145,0.52,1.818,0.1129,goal_reached
0,0.0863,949.96,146,0.12,1.861,0.0863,goal_reached
0,0.0158,971.09,148,0.0,1.617,0.0158,tilt
0,0.0759,958.94,149,0.32,2.018,0.0589,goal_reached
0,0.1129,971.36,152,0.32,2.098,0.064,goal_reached
0,0.0626,1001.48,155,0.3,2.098,0.0626,goal_reached
0,0.1036,1025.94,158,0.36,1.99,0.0605,goal_reached
0,0.0,332.69,53,0.0,0.563,-0.0077,tilt
1,0.1348,1081.55,161,0.9,1.824,0.1348,tilt
0,0.0,180.47,26,0.0,0.101,-0.0091,tilt
1,0.1395,1084.4,162,0.92,1.905,0.1395,tilt
0,0.0678,1042.21,163,0.4,2.202,0.0573,goal_reached
0,0.0985,1087.26,169,0.42,2.188,0.0625,goal_reached
1,0.1291,1129.31,169,0.88,2.1,0.1122,goal_reached
1,0.2345,1145.19,170,0.92,1.989,0.1625,tilt
0,0.0,152.49,22,0.0,0.107,-0.01,tilt
1,0.1396,1161.19,177,0.82,2.217,0.1396,tilt
1,0.1248,1217.79,178,0.74,1.899,0.1229,goal_reached
0,0.0126,620.45,97,0.0,1.359,0.0107,goal_reached
0,0.0911,632.66,96,0.24,1.152,0.0911,propeller_collision
0,0.0,172.41,25,0.0,0.129,-0.0103,tilt
0,0.0296,637.15,101,0.0,1.437,0.01,goal_reached
0,0.0137,624.7,97,0.0,1.186,0.0079,goal_reached
0,0.0107,662.63,104,0.0,1.35,0.0074,goal_reached
0,0.0821,646.19,101,0.08,1.486,0.0821,goal_reached
0,0.0252,687.61,107,0.0,1.519,0.0252,goal_reached
1,0.1292,1389.68,209,1.08,2.545,0.1103,goal_reached
0,0.0,259.83,40,0.0,0.246,-0.011,tilt
1,0.1852,1410.03,213,1.26,2.712,0.1852,tilt
0,0.1388,704.91,107,0.26,1.259,0.1388,tilt
0,0.0204,711.68,109,0.0,1.448,0.0204,goal_reached
0,0.1101,738.16,116,0.24,1.817,0.0923,propeller_collision
0,0.0152,682.97,107,0.0,1.394,0.0085,goal_reached
0,0.0361,709.12,109,0.0,1.437,0.0361,goal_reached
0,0.0177,661.11,98,0.0,0.818,0.0177,tilt
0,0.0581,679.59,107,0.04,1.589,0.0581,goal_reached
0,0.03,706.44,109,0.0,1.452,0.03,goal_reached
0,0.0,186.67,27,0.0,0.085,-0.0096,tilt
0,0.0287,734.21,116,0.0,1.804,0.0287,goal_reached
0,0.0178,747.64,119,0.0,1.827,0.0168,goal_reached
1,0.1293,873.11,132,0.54,1.752,0.1293,goal_reached
0,0.0313,694.18,112,0.0,1.768,0.0092,goal_reached
0,0.0461,722.97,116,0.1,1.755,0.0072,goal_reached
0,0.0202,696.7,106,0.0,1.327,0.0202,goal_reached
0,0.059,628.34,95,0.02,1.076,0.059,goal_reached
0,0.1103,890.22,138,0.28,1.882,0.0882,tilt
0,0.0267,613.69,95,0.0,1.265,0.0267,goal_reached
0,0.0387,701.05,113,0.0,1.749,0.0082,goal_reached
0,0.1079,730.93,114,0.18,1.666,0.1077,goal_reached
0,0.0309,590.12,91,0.0,1.018,0.0076,goal_reached
0,0.0325,764.53,122,0.0,1.732,0.0092,goal_reached
1,0.0883,1020.71,145,0.86,1.407,0.0883,tilt
0,0.0484,664.33,105,0.02,1.69,0.0484,goal_reached
0,0.0774,764.15,117,0.32,1.694,0.0567,goal_reached
0,0.0898,802.82,125,0.34,1.712,0.063,goal_reached
0,0.0917,766.32,120,0.08,1.712,0.0917,goal_reached
0,0.0936,694.37,106,0.24,1.289,0.0936,propeller_collision
0,0.0378,833.2,131,0.0,1.854,0.0378,goal_reached
0,0.0841,736.02,111,0.3,1.223,0.0841,tilt
0,0.0832,770.87,120,0.36,1.712,0.0607,goal_reached
0,0.0969,759.42,117,0.38,1.788,0.0676,goal_reached
0,0.0421,649.98,97,0.02,0.987,0.0421,tilt
0,0.0647,495.2,78,0.2,1.021,0.0385,goal_reached
0,0.0619,842.77,129,0.3,1.724,0.0566,goal_reached
1,0.1368,979.13,143,0.98,1.645,0.1368,tilt
0,0.0996,690.54,105,0.48,1.512,0.0996,goal_reached
0,0.0998,847.37,132,0.2,1.903,0.0997,propeller_collision
0,0.0,236.27,36,0.0,0.237,-0.011,tilt
0,0.1452,857.84,135,0.16,1.993,0.1452,tilt
0,0.0831,749.32,116,0.32,1.577,0.0595,goal_reached
0,0.0923,852.91,129,0.44,1.73,0.0923,tilt
