cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0365,528.85,83,0.08,1.146,0.0022,goal_reached
0,0.0431,544.56,85,0.12,1.137,0.0052,goal_reached
0,0.04,544.37,86,0.1,1.137,0.0002,goal_reached
0,0.0522,567.77,89,0.18,1.25,0.0232,goal_reached
0,0.0346,577.9,90,0.08,1.139,0.0011,goal_reached
0,0.0263,567.16,91,0.0,1.276,0.0242,goal_reached
0,0.0181,593.87,92,0.0,1.16,0.0005,goal_reached
0,0.0751,618.86,96,0.3,1.313,0.0467,goal_reached
0,0.0721,652.67,102,0.4,1.58,0.0594,goal_reached
0,0.0315,655.07,105,0.0,1.61,-0.0016,goal_reached
0,0.0703,687.2,106,0.42,1.574,0.0643,goal_reached
0,0.0738,684.68,106,0.38,1.582,0.0724,tilt
0,0.0898,706.34,113,0.3,1.758,0.0625,goal_reached
0,0.0765,736.53,115,0.44,1.741,0.0576,goal_reached
0,0.0861,768.78,115,0.42,1.286,0.0861,tilt
0,0.06,743.76,115,0.38,1.706,0.0367,goal_reached
0,0.0829,730.37,115,0.22,1.762,0.0814,goal_reached
0,0.0761,713.35,115,0.3,1.95,0.0534,goal_reached
0,0.0715,753.59,116,0.44,1.707,0.0715,goal_reached
0,0.0834,744.89,116,0.4,1.698,0.039,goal_reached
0,0.125,756.65,119,0.38,1.855,0.0563,goal_reached
0,0.079,744.47,119,0.3,1.962,0.0431,goal_reached
0,0.0857,754.16,119,0.38,1.843,0.0381,goal_reached
1,0.1112,775.07,120,0.72,1.853,0.1112,tilt
1,0.1112,775.07,120,0.72,1.853,0.1112,tilt
0,0.0817,773.69,121,0.42,1.847,0.0407,goal_reached
1,0.1746,807.22,122,0.64,1.703,0.1746,goal_reached
0,0.0766,775.68,122,0.34,1.843,0.0453,goal_reached
1,0.1162,808.14,123,0.74,1.703,0.079,goal_reached
0,0.0822,780.73,123,0.34,1.885,0.0508,goal_reached
1,0.132,817.0,124,0.66,1.729,0.1262,goal_reached
0,0.0954,801.28,127,0.34,1.957,0.0428,goal_reached
1,0.1126,833.39,128,0.68,1.95,0.1126,tilt
0,0.1068,808.61,128,0.28,1.946,0.0846,goal_reached
1,0.1392,838.28,129,0.64,1.836,0.1382,tilt
1,0.106,850.95,131,0.64,1.812,0.0993,tilt
1,0.1193,872.52,133,0.96,1.862,0.1131,tilt
0,0.1016,845.04,133,0.3,2.026,0.0654,goal_reached
1,0.1064,868.8,134,0.62,2.073,0.0971,goal_reached
0,0.0741,867.38,137,0.42,2.268,0.0605,goal_reached
1,0.1221,893.23,137,0.74,1.993,0.1137,goal_reached
1,0.1329,896.35,138,0.66,2.088,0.117,goal_reached
1,0.107,897.14,139,0.66,2.073,0.0995,goal_reached
0,0.0,148.89,23,0.0,0.23,-0.013,tilt
1,0.1261,911.71,140,0.68,2.073,0.1076,goal_reached
1,0.1328,929.95,144,0.6,2.28,0.1328,goal_reached
1,0.1087,937.15,148,0.68,2.472,0.1041,goal_reached
1,0.1154,968.55,150,0.98,2.246,0.1119,tilt
1,0.1083,958.68,151,0.62,2.467,0.1067,goal_reached
1,0.1464,980.28,151,0.92,2.196,0.0823,goal_reached
1,0.1152,995.14,153,0.96,2.218,0.1121,tilt
1,0.1149,989.15,154,0.72,2.379,0.0801,goal_reached
1,0.1175,1012.98,157,0.74,2.388,0.0773,goal_reached
1,0.1563,1044.37,163,0.84,2.295,0.0799,tilt
1,0.1117,1073.68,165,1.0,2.379,0.1117,tilt
1,0.1213,1052.18,165,0.68,2.653,0.0945,goal_reached
1,0.1185,1064.12,167,0.72,2.645,0.0962,goal_reached
1,0.1112,1095.11,172,0.84,2.658,0.079,goal_reached
0,0.0556,567.62,89,0.12,1.304,0.0556,tilt
1,0.1212,1128.87,176,0.84,2.666,0.0851,goal_reached
1,0.1353,1162.78,180,1.0,2.661,0.112,tilt
1,0.1323,1158.44,180,1.3,2.532,0.097,goal_reached
1,0.0857,1282.52,183,1.24,1.762,0.0816,goal_reached
1,0.1232,1179.33,183,0.98,2.776,0.1131,tilt
0,0.0372,588.51,92,0.1,1.234,0.0006,goal_reached
1,0.1829,1231.59,187,1.7,2.422,0.1826,tilt
0,0.0395,607.91,98,0.12,1.594,0.0078,goal_reached
0,0.117,644.89,100,0.22,1.288,0.117,tilt
1,0.1552,1284.29,193,1.56,2.871,0.1552,tilt
0,0.0832,545.1,85,0.24,1.292,0.0663,goal_reached
0,0.0792,655.22,102,0.3,1.479,0.0516,goal_reached
0,0.0695,751.62,120,0.32,1.971,0.0397,goal_reached
1,0.1486,852.27,132,0.62,2.089,0.1473,goal_reached
0,0.0651,582.94,90,0.32,1.355,0.0372,goal_reached
0,0.0644,660.61,103,0.46,1.684,0.0644,goal_reached
1,0.1163,804.63,125,0.72,1.895,0.1125,tilt
0,0.0819,707.88,109,0.46,1.762,0.0819,goal_reached
0,0.0818,777.83,122,0.24,1.931,0.0697,goal_reached
0,0.084,697.72,108,0.46,1.577,0.084,goal_reached
1,0.1184,954.87,149,0.66,2.282,0.114,goal_reached
1,0.145,930.56,143,0.72,2.061,0.1235,goal_reached
0,0.0304,519.53,82,0.0,1.188,0.0022,goal_reached
0,0.1028,707.62,110,0.44,1.655,0.0587,goal_reached
0,0.0801,743.29,117,0.32,1.882,0.0429,goal_reached
0,0.0697,752.35,119,0.4,2.072,0.0697,goal_reached
0,0.0732,817.37,128,0.38,2.051,0.0395,goal_reached
0,0.0807,697.79,107,0.44,1.583,0.0572,goal_reached
0,0.0674,765.85,121,0.24,1.936,0.0485,goal_reached
0,0.0952,791.31,125,0.3,1.942,0.0655,goal_reached
