cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0283,521.28,80,0.0,0.885,0.0197,goal_reached
0,0.0285,524.6,81,0.0,0.907,0.0222,goal_reached
0,0.0434,543.11,83,0.0,0.882,0.0222,goal_reached
0,0.0252,560.14,85,0.0,0.952,0.0173,goal_reached
0,0.0245,564.58,86,0.0,0.944,0.0182,goal_reached
0,0.0456,556.9,89,0.0,1.418,0.0456,goal_reached
0,0.0248,594.82,90,0.0,1.004,0.0203,goal_reached
0,0.0258,589.29,91,0.0,1.03,0.0196,goal_reached
0,0.0549,577.67,92,0.1,1.403,0.0191,goal_reached
0,0.0245,600.67,92,0.0,1.033,0.0225,goal_reached
0,0.0254,594.72,93,0.0,1.113,0.0224,goal_reached
0,0.0523,610.56,94,0.02,1.132,0.0523,goal_reached
0,0.1138,624.85,95,0.18,1.214,0.1138,propeller_collision
0,0.0258,596.46,95,0.0,1.363,0.0202,goal_reached
0,0.0261,638.46,100,0.0,1.31,0.0201,goal_reached
0,0.034,624.4,101,0.0,1.538,0.021,goal_reached
0,0.1141,664.31,101,0.26,1.211,0.1141,tilt
0,0.0,145.78,21,0.0,0.081,-0.0091,tilt
0,0.0531,659.38,103,0.08,1.269,0.0305,goal_reached
0,0.1099,692.92,105,0.24,1.121,0.1099,tilt
0,0.0315,678.17,106,0.0,1.354,0.0197,goal_reached
0,0.0381,681.33,108,0.0,1.653,0.0251,goal_reached
0,0.0233,674.51,109,0.0,1.682,0.0186,goal_reached
0,0.1096,711.59,110,0.22,1.312,0.1096,tilt
0,0.1096,711.59,110,0.22,1.312,0.1096,tilt
0,0.0343,707.07,111,0.0,1.4,0.0182,goal_reached
0,0.0417,708.44,111,0.0,1.385,0.0193,goal_reached
1,0.0991,731.05,112,0.5,1.437,0.0791,goal_reached
0,0.0449,708.75,112,0.0,1.661,0.0449,goal_reached
0,0.0249,700.86,112,0.0,1.641,0.0193,goal_reached
0,0.0336,720.07,113,0.0,1.402,0.0192,goal_reached
0,0.029,720.94,114,0.0,1.562,0.0181,goal_reached
0,0.0304,725.76,116,0.0,1.807,0.0179,goal_reached
0,0.0358,733.66,117,0.0,1.805,0.0218,goal_reached
0,0.0238,731.62,118,0.0,1.759,0.0184,goal_reached
0,0.0323,749.51,119,0.0,1.756,0.0191,goal_reached
0,0.0837,782.78,119,0.1,1.417,0.0837,tilt
0,0.0,166.43,24,0.0,0.085,-0.0099,tilt
0,0.0588,770.53,120,0.1,1.479,0.055,tilt
0,0.0282,769.87,121,0.0,1.582,0.0173,goal_reached
0,0.0209,763.43,121,0.0,1.636,0.0176,goal_reached
0,0.0335,769.8,122,0.0,1.697,0.03,goal_reached
0,0.0311,772.88,123,0.0,1.687,0.0223,goal_reached
0,0.0214,798.78,123,0.0,1.635,0.0197,goal_reached
1,0.1093,844.46,125,0.68,1.408,0.1093,tilt
0,0.0496,835.43,125,0.02,1.381,0.0496,tilt
0,0.0346,790.27,126,0.0,1.81,0.0168,goal_reached
0,0.0346,790.27,126,0.0,1.81,0.0168,goal_reached
0,0.0501,798.08,127,0.06,1.664,0.0213,goal_reached
0,0.0317,802.07,127,0.0,1.907,0.018,goal_reached
0,0.0333,795.67,127,0.0,1.89,0.019,goal_reached
0,0.1363,818.8,129,0.16,1.898,0.1363,tilt
0,0.0747,842.67,131,0.06,1.654,0.0747,goal_reached
0,0.0527,828.3,132,0.02,1.97,0.0527,tilt
0,0.0,301.72,46,0.0,0.479,-0.0084,tilt
0,0.0585,835.01,133,0.16,1.924,0.0508,tilt
0,0.0982,861.23,133,0.18,1.744,0.0982,tilt
0,0.0427,841.98,134,0.0,1.893,0.0215,goal_reached
0,0.1075,853.51,135,0.16,2.036,0.1075,tilt
0,0.0243,876.89,139,0.0,1.777,0.0181,goal_reached
0,0.0,159.44,23,0.0,0.097,-0.0101,tilt
1,0.096,969.4,149,0.58,2.019,0.0952,goal_reached
0,0.0346,453.66,71,0.0,0.869,0.0164,goal_reached
0,0.084,1039.33,155,0.42,1.852,0.0804,goal_reached
1,0.1679,1046.43,159,0.88,2.07,0.1679,propeller_collision
0,0.0847,1063.96,164,0.42,2.319,0.0795,goal_reached
0,0.0376,524.65,80,0.0,0.849,0.018,goal_reached
0,0.0,172.72,25,0.0,0.101,-0.0067,tilt
0,0.0,293.77,45,0.0,0.486,-0.0085,tilt
0,0.08,1191.73,176,0.4,2.002,0.0786,goal_reached
0,0.0468,568.71,85,0.0,0.933,0.0468,tilt
1,0.1761,1172.35,179,0.76,2.45,0.1704,tilt
0,0.038,581.76,91,0.0,1.252,0.0195,goal_reached
0,0.0258,612.42,95,0.0,1.264,0.0191,goal_reached
0,0.0483,639.33,94,0.02,0.883,0.0483,tilt
0,0.0543,559.55,89,0.08,1.35,0.0221,goal_reached
0,0.0226,514.43,79,0.0,0.911,0.0217,goal_reached
0,0.0267,552.05,84,0.0,0.994,0.0204,goal_reached
0,0.0,145.73,21,0.0,0.1,-0.0099,tilt
0,0.0267,554.31,87,0.0,1.2,0.0267,goal_reached
0,0.0288,523.44,81,0.0,0.95,0.0182,goal_reached
0,0.1121,1366.19,198,0.48,2.045,0.1121,tilt
0,0.1117,634.63,96,0.2,1.145,0.1117,tilt
0,0.0293,556.27,86,0.0,0.946,0.0196,goal_reached
0,0.1122,722.9,109,0.44,1.247,0.1122,propeller_collision
0,0.1142,622.65,96,0.2,1.203,0.1142,propeller_collision
0,0.0206,524.14,81,0.0,0.924,0.0194,goal_reached
0,0.0,199.12,29,0.0,0.071,-0.0075,tilt
0,0.034,641.02,101,0.0,1.384,0.0222,goal_reached
0,0.0465,586.42,94,0.0,1.419,0.0184,goal_reached
0,0.0659,659.82,107,0.18,1.69,0.038,goal_reached
0,0.1194,635.11,97,0.2,1.208,0.1194,propeller_collision
0,0.0186,823.1,128,0.0,1.807,0.0186,goal_reached
0,0.0353,768.71,121,0.0,1.59,0.0206,goal_reached
0,0.0343,753.14,119,0.0,1.767,0.0343,goal_reached
0,0.0342,706.27,111,0.0,1.368,0.0188,goal_reached
0,0.0389,590.17,93,0.0,1.337,0.0221,goal_reached
0,0.0229,566.34,91,0.0,1.402,0.0171,goal_reached
0,0.0274,572.45,92,0.0,1.419,0.0198,goal_reached
0,0.0,152.58,22,0.0,0.076,-0.0132,tilt
0,0.0307,689.83,111,0.0,1.694,0.0307,goal_reached
0,0.0959,813.94,129,0.1,1.957,0.0959,tilt
0,0.1109,632.22,99,0.18,1.473,0.1109,propeller_collision
0,0.0714,754.71,117,0.06,1.609,0.0714,tilt
0,0.0236,745.65,116,0.0,1.401,0.0208,goal_reached
0,0.0262,670.9,105,0.0,1.412,0.021,goal_reached
0,0.0706,626.41,101,0.2,1.509,0.0241,goal_reached
0,0.0296,685.51,108,0.0,1.398,0.0177,goal_reached
0,0.0314,679.85,110,0.0,1.931,0.0212,goal_reached
0,0.0445,719.03,113,0.0,1.578,0.0209,goal_reached
0,0.0307,713.19,113,0.0,1.5,0.0269,goal_reached
0,0.0367,759.99,119,0.0,1.628,0.0367,goal_reached
0,0.0409,718.14,114,0.0,1.693,0.0204,goal_reached
0,0.1103,646.91,102,0.16,1.568,0.1103,tilt
0,0.0586,777.06,122,0.1,1.607,0.0586,tilt
