cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0,569.87,87,0.0,1.035,-0.0109,goal_reached
0,0.0,578.5,88,0.0,1.044,-0.0126,goal_reached
0,0.0293,568.2,91,0.1,1.487,-0.0011,goal_reached
0,0.0022,579.1,91,0.0,1.148,-0.0114,goal_reached
0,0.0128,587.02,92,0.0,1.2,-0.0066,goal_reached
0,0.0079,580.35,93,0.0,1.506,-0.0074,goal_reached
0,0.0052,592.64,93,0.0,1.23,-0.0043,goal_reached
0,0.0573,607.92,94,0.28,1.39,0.039,goal_reached
0,0.0544,637.14,99,0.22,1.513,0.0198,goal_reached
0,0.0495,677.44,103,0.22,1.411,0.0205,goal_reached
0,0.0392,682.28,105,0.14,1.48,0.0176,goal_reached
0,0.0274,699.26,106,0.06,1.572,0.0237,goal_reached
0,0.0139,660.77,107,0.0,1.797,-0.0095,goal_reached
0,0.0116,671.26,107,0.0,1.616,-0.007,goal_reached
0,0.0428,705.2,109,0.18,1.485,0.0221,goal_reached
0,0.0366,723.03,109,0.14,1.537,0.0208,goal_reached
0,0.019,688.7,109,0.0,1.531,-0.0096,goal_reached
0,0.0517,741.71,114,0.2,1.514,0.0249,goal_reached
0,0.0224,755.34,114,0.0,1.622,0.0184,goal_reached
0,0.0224,755.34,114,0.0,1.622,0.0184,goal_reached
0,0.0,180.94,26,0.0,0.061,-0.0084,tilt
0,0.0354,756.76,115,0.2,1.628,0.0303,goal_reached
0,0.0369,766.25,116,0.08,1.571,0.0369,tilt
0,0.046,766.75,117,0.2,1.535,0.0184,goal_reached
0,0.0501,758.95,117,0.2,1.599,0.0193,goal_reached
0,0.0604,775.93,119,0.22,1.565,0.0373,goal_reached
0,0.057,784.16,121,0.24,1.663,0.024,goal_reached
0,0.0072,758.86,121,0.0,1.806,-0.0077,goal_reached
0,0.0199,760.61,121,0.0,1.785,0.0199,goal_reached
0,0.0157,765.21,122,0.0,1.825,-0.0079,goal_reached
0,0.0293,767.91,123,0.1,1.847,-0.0131,goal_reached
0,0.0288,785.93,124,0.02,1.905,0.0288,goal_reached
0,0.016,780.55,124,0.0,1.878,-0.008,goal_reached
0,0.0467,822.04,124,0.16,1.489,0.0184,goal_reached
0,0.0488,803.22,125,0.2,1.733,0.0171,goal_reached
0,0.0625,818.05,127,0.28,1.852,0.0371,goal_reached
0,0.0189,800.15,127,0.0,1.872,-0.0108,goal_reached
0,0.0352,825.15,127,0.14,1.708,0.0174,goal_reached
0,0.022,806.43,127,0.0,1.798,0.0188,goal_reached
0,0.0704,828.55,128,0.28,1.839,0.038,goal_reached
0,0.0204,835.1,129,0.0,1.839,0.0204,tilt
0,0.0519,813.01,129,0.22,2.033,0.0282,goal_reached
0,0.0936,821.59,130,0.18,2.003,0.0936,goal_reached
0,0.0807,838.27,132,0.2,2.03,0.0779,goal_reached
0,0.0,292.9,47,0.0,0.698,-0.0071,tilt
0,0.0,278.25,43,0.0,0.493,-0.0083,tilt
0,0.0537,888.97,139,0.22,1.996,0.0177,goal_reached
0,0.0691,886.55,140,0.26,2.046,0.0437,goal_reached
0,0.0544,890.2,140,0.2,2.04,0.023,goal_reached
0,0.0498,891.71,140,0.22,2.035,0.0203,goal_reached
0,0.0356,916.86,143,0.16,2.225,0.0168,goal_reached
0,0.0699,910.52,143,0.22,2.07,0.0482,goal_reached
0,0.0,163.43,25,0.0,0.233,-0.008,tilt
0,0.0459,912.66,144,0.18,2.271,0.0189,goal_reached
0,0.0638,946.87,149,0.3,2.218,0.0291,goal_reached
0,0.0527,964.38,149,0.24,2.118,0.0236,goal_reached
0,0.0631,981.83,149,0.46,2.258,0.052,goal_reached
0,0.054,955.62,150,0.22,2.244,0.0196,goal_reached
0,0.0448,966.29,151,0.18,2.269,0.023,goal_reached
0,0.1008,990.14,151,0.44,2.358,0.1008,goal_reached
1,0.0656,1021.9,154,0.54,2.293,0.0656,goal_reached
0,0.0452,1008.94,157,0.2,1.989,0.0348,tilt
1,0.0788,1014.59,158,0.54,2.274,0.0788,tilt
1,0.0614,1046.18,159,0.54,2.353,0.0614,goal_reached
1,0.0766,1092.78,164,0.5,2.273,0.0766,goal_reached
0,0.0,152.08,22,0.0,0.092,-0.008,tilt
0,0.0,263.85,41,0.0,0.498,-0.0102,tilt
0,0.0305,1083.42,168,0.1,2.364,0.0246,goal_reached
1,0.1123,1158.3,173,0.9,2.495,0.1123,tilt
0,0.0,152.91,22,0.0,0.083,-0.0076,tilt
0,0.0,299.62,46,0.0,0.524,-0.0108,tilt
0,0.0184,550.96,85,0.0,1.014,-0.0118,goal_reached
0,0.0,281.8,44,0.0,0.553,-0.0088,tilt
1,0.1147,1227.82,186,1.26,2.828,0.0805,goal_reached
0,0.0201,597.92,95,0.0,1.463,-0.0105,goal_reached
0,0.0375,651.82,102,0.16,1.372,0.0141,goal_reached
0,0.0,294.43,45,0.0,0.467,-0.0093,tilt
0,0.0326,576.82,90,0.02,1.265,0.0326,goal_reached
0,0.035,547.21,85,0.14,1.024,-0.0101,goal_reached
0,0.0227,575.53,90,0.0,1.242,-0.0106,goal_reached
0,0.0222,643.27,99,0.0,1.56,0.0192,goal_reached
0,0.0,185.62,29,0.0,0.332,-0.0065,tilt
0,0.0154,657.26,103,0.0,1.499,0.0154,goal_reached
0,0.0213,570.26,91,0.0,1.462,-0.0106,goal_reached
0,0.0167,637.3,100,0.0,1.432,-0.0092,goal_reached
0,0.0655,742.93,113,0.26,1.532,0.0297,goal_reached
0,0.019,638.16,101,0.0,1.471,-0.0119,goal_reached
0,0.0615,708.4,109,0.3,1.552,0.0262,goal_reached
0,0.0262,598.86,95,0.06,1.45,-0.0023,goal_reached
0,0.0068,707.82,112,0.0,1.765,-0.0008,goal_reached
0,0.0265,826.14,127,0.02,1.81,0.0265,tilt
0,0.02,536.4,85,0.0,1.229,0.0056,goal_reached
0,0.0451,784.37,119,0.18,1.525,0.0213,goal_reached
0,0.0511,705.18,111,0.22,1.721,0.0196,goal_reached
0,0.0166,660.44,104,0.0,1.49,0.0166,goal_reached
0,0.0512,746.41,112,0.06,1.403,0.0512,tilt
0,0.0215,675.11,100,0.0,1.176,0.0215,tilt
