cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0,283.94,40,0.0,0.58,-0.0054,tilt
0,0.0,292.13,41,0.0,0.613,-0.0049,tilt
0,0.0,301.48,42,0.0,0.653,-0.0055,tilt
0,0.0,307.74,43,0.0,0.733,-0.0049,tilt
0,0.0,334.98,48,0.0,0.865,-0.0043,tilt
0,0.0356,426.77,59,0.06,0.855,0.0196,goal_reached
0,0.0138,447.93,63,0.0,0.888,0.0012,goal_reached
0,0.0111,453.45,64,0.0,1.009,-0.0002,goal_reached
0,0.0063,473.33,66,0.0,0.91,-0.0015,goal_reached
0,0.0097,475.38,67,0.0,0.981,0.0007,goal_reached
0,0.0067,501.15,69,0.0,0.929,0.0038,goal_reached
0,0.0512,526.9,73,0.16,1.102,-0.0026,goal_reached
0,0.081,530.07,77,0.32,1.382,0.0368,goal_reached
0,0.0297,563.98,78,0.0,1.035,0.0142,goal_reached
0,0.0235,573.58,80,0.0,1.039,0.0105,goal_reached
0,0.0051,597.09,81,0.0,0.984,0.0018,goal_reached
0,0.0084,596.82,84,0.0,1.315,0.0001,goal_reached
0,0.0099,632.44,85,0.0,0.977,0.0051,goal_reached
0,0.0151,616.88,86,0.0,1.365,0.0072,goal_reached
0,0.0044,603.54,86,0.0,1.439,-0.0016,goal_reached
0,0.0058,671.03,90,0.0,0.996,-0.0003,goal_reached
0,0.0044,684.06,92,0.0,1.049,-0.0025,goal_reached
0,0.0067,654.31,94,0.0,1.746,-0.0005,goal_reached
0,0.0072,662.87,95,0.0,1.757,0.0005,goal_reached
0,0.0217,710.8,99,0.0,1.504,-0.0037,goal_reached
0,0.0,395.33,56,0.0,0.95,-0.0023,tilt
0,0.0096,721.17,101,0.0,1.525,0.0055,goal_reached
0,0.0167,715.85,101,0.0,1.625,0.0054,goal_reached
0,0.0636,736.95,105,0.22,1.785,0.0429,goal_reached
1,0.084,739.52,105,0.82,1.632,0.0797,goal_reached
0,0.0406,748.95,108,0.12,1.895,0.0388,goal_reached
0,0.024,772.46,109,0.0,1.805,0.0235,goal_reached
0,0.0201,762.88,109,0.0,1.8,0.0201,goal_reached
0,0.0423,777.82,110,0.1,1.835,0.0423,goal_reached
0,0.0039,785.58,110,0.0,1.697,0.0022,goal_reached
1,0.0483,791.92,112,0.68,1.868,0.0408,goal_reached
0,0.0044,800.61,113,0.0,1.896,-0.0018,goal_reached
0,0.0864,481.8,69,0.24,1.093,0.0506,goal_reached
0,0.005,859.12,119,0.0,1.796,0.0016,goal_reached
1,0.0606,860.11,119,0.78,1.659,0.0414,goal_reached
1,0.0418,842.53,120,0.58,1.91,0.0409,goal_reached
1,0.073,863.76,120,0.94,1.638,0.073,tilt
0,0.074,845.99,120,0.2,1.934,0.074,tilt
0,0.039,866.41,121,0.08,1.828,0.0282,goal_reached
0,0.032,413.26,58,0.0,0.971,0.0116,goal_reached
0,0.0042,891.85,122,0.0,1.531,-0.0018,goal_reached
0,0.0,270.04,37,0.0,0.511,-0.0072,tilt
0,0.0074,494.35,68,0.0,0.969,-0.0024,goal_reached
0,0.0424,962.28,136,0.48,1.949,0.0408,goal_reached
1,0.0858,962.64,136,1.1,2.132,0.0785,goal_reached
0,0.0436,460.23,65,0.12,0.981,-0.0005,goal_reached
1,0.0457,1023.4,141,0.76,2.009,0.0389,goal_reached
0,0.0,357.89,51,0.0,0.897,-0.0043,tilt
0,0.0123,783.12,104,0.0,1.093,0.0113,goal_reached
1,0.0429,778.56,108,0.62,1.506,0.0391,goal_reached
0,0.0088,477.28,66,0.0,0.962,-0.0008,goal_reached
0,0.0046,625.08,85,0.0,1.085,-0.0029,goal_reached
0,0.0069,590.42,83,0.0,1.378,-0.0005,goal_reached
1,0.1107,1078.36,154,0.92,2.435,0.1107,tilt
0,0.0,317.94,44,0.0,0.612,-0.0046,tilt
0,0.0,277.96,38,0.0,0.503,-0.0057,tilt
1,0.0642,1193.29,160,1.86,1.724,0.0604,goal_reached
0,0.0194,503.49,69,0.0,0.964,-0.0034,goal_reached
0,0.0441,1243.39,164,0.2,1.153,0.0196,goal_reached
0,0.0114,592.91,83,0.0,1.271,0.0039,goal_reached
0,0.0071,736.46,103,0.0,1.635,-0.0009,goal_reached
0,0.0055,787.34,111,0.0,1.847,0.0014,goal_reached
0,0.0608,527.92,73,0.34,1.161,0.0592,tilt
0,0.0396,482.24,67,0.1,1.016,-0.0001,goal_reached
0,0.0101,1376.51,179,0.0,0.954,0.0011,goal_reached
0,0.0065,610.48,86,0.0,1.453,0.0001,goal_reached
0,0.0061,691.89,97,0.0,1.56,-0.0031,goal_reached
0,0.0077,612.14,86,0.0,1.331,0.0012,goal_reached
0,0.0113,693.51,99,0.0,1.769,0.0003,goal_reached
1,0.0514,812.87,112,0.74,1.483,0.0385,goal_reached
0,0.0085,483.93,67,0.0,0.907,-0.0008,goal_reached
0,0.0457,817.72,115,0.14,1.855,0.0226,goal_reached
0,0.005,701.84,100,0.0,1.75,-0.0017,goal_reached
0,0.0193,421.68,59,0.0,0.94,-0.0036,goal_reached
0,0.0,278.23,38,0.0,0.475,-0.0062,tilt
1,0.0442,1132.86,157,0.94,2.148,0.0366,goal_reached
0,0.0067,632.75,88,0.0,1.375,-0.0006,goal_reached
0,0.008,669.6,89,0.0,0.832,-0.0001,goal_reached
0,0.0047,717.92,101,0.0,1.647,0.0026,goal_reached
0,0.0158,746.46,105,0.0,1.653,0.0092,goal_reached
0,0.0038,625.59,84,0.0,0.936,-0.0028,goal_reached
0,0.0237,741.31,103,0.0,1.607,0.0128,goal_reached
0,0.0431,738.77,106,0.12,1.827,0.0416,goal_reached
0,0.0307,454.0,64,0.0,1.063,-0.001,goal_reached
0,0.0429,759.4,108,0.12,1.81,0.0405,goal_reached
0,0.0098,632.01,88,0.0,1.355,0.0032,goal_reached
0,0.0461,822.91,117,0.16,1.97,0.0414,goal_reached
0,0.0188,743.67,106,0.0,1.867,0.0188,goal_reached
1,0.0578,820.77,112,0.82,1.447,0.0395,goal_reached
1,0.0466,821.19,112,0.72,1.461,0.0444,goal_reached
0,0.0041,715.02,98,0.0,1.387,-0.0009,goal_reached
0,0.0096,706.13,98,0.0,1.436,0.0034,goal_reached
1,0.0465,999.49,136,0.66,1.682,0.0455,goal_reached
0,0.0029,576.89,79,0.0,1.037,-0.0027,goal_reached
0,0.0075,638.92,87,0.0,1.103,-0.0001,goal_reached
0,0.0424,602.04,84,0.12,1.281,0.0157,goal_reached
0,0.0,271.78,37,0.0,0.465,-0.0042,tilt
0,0.028,512.29,73,0.0,1.125,0.0159,goal_reached
0,0.0625,927.39,130,0.38,2.011,0.0619,tilt
0,0.0104,719.13,99,0.0,1.399,0.0006,goal_reached
0,0.041,664.16,94,0.1,1.552,0.041,goal_reached
1,0.0466,883.03,124,0.6,1.862,0.0418,goal_reached
0,0.0,264.3,36,0.0,0.464,-0.008,tilt
0,0.0036,590.69,80,0.0,0.94,-0.0014,goal_reached
0,0.0031,868.34,119,0.0,1.665,-0.0017,goal_reached
0,0.0084,485.64,67,0.0,0.94,0.0023,goal_reached
0,0.0328,415.83,59,0.04,0.948,0.0029,goal_reached
0,0.009,588.76,80,0.0,0.97,0.0007,goal_reached
