cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0,324.5,48,0.0,0.358,-0.0073,tilt
0,0.0402,569.47,89,0.02,0.921,0.0081,goal_reached
0,0.0236,570.85,93,0.0,0.982,0.0113,goal_reached
0,0.021,588.67,94,0.0,0.955,0.0098,goal_reached
0,0.0237,601.28,98,0.0,1.035,0.0095,goal_reached
0,0.0322,619.81,99,0.0,1.133,0.0113,goal_reached
0,0.0389,695.79,99,0.0,1.182,0.0389,tilt
0,0.0337,540.17,105,0.0,1.565,0.011,goal_reached
0,0.0264,693.79,106,0.0,1.298,0.0129,goal_reached
0,0.0563,706.38,106,0.06,0.99,0.0563,tilt
0,0.0351,696.46,107,0.0,1.352,0.0246,goal_reached
0,0.102,755.6,112,0.12,1.444,0.102,tilt
0,0.0887,674.7,113,0.3,1.457,0.0887,propeller_collision
0,0.0272,727.07,114,0.0,1.297,0.0272,goal_reached
0,0.0426,824.8,116,0.02,1.389,0.0426,tilt
0,0.037,814.87,117,0.0,1.589,0.0138,goal_reached
0,0.024,816.24,120,0.0,1.503,0.0108,goal_reached
0,0.0693,832.86,120,0.18,1.391,0.0693,tilt
0,0.0877,799.38,123,0.22,1.582,0.0877,tilt
0,0.0503,822.83,123,0.04,1.711,0.0503,goal_reached
0,0.0361,854.76,126,0.0,1.696,0.019,goal_reached
0,0.0935,849.76,127,0.46,1.437,0.0935,tilt
0,0.0916,794.43,130,0.38,1.619,0.0916,propeller_collision
0,0.0671,932.43,130,0.12,1.402,0.0671,tilt
0,0.0704,889.82,131,0.4,1.66,0.0589,goal_reached
0,0.0211,909.36,131,0.0,1.742,0.0117,goal_reached
0,0.0922,851.0,133,0.24,1.639,0.0922,propeller_collision
0,0.0263,909.24,134,0.0,1.685,0.0224,goal_reached
1,0.1346,863.81,134,0.5,2.051,0.1346,tilt
0,0.0946,916.09,134,0.26,2.04,0.0657,goal_reached
0,0.092,843.99,135,0.34,1.773,0.092,propeller_collision
0,0.0182,937.44,135,0.0,1.74,0.012,goal_reached
0,0.0338,936.33,136,0.0,1.867,0.0089,goal_reached
0,0.0664,944.54,137,0.1,1.639,0.0664,tilt
0,0.0286,961.6,137,0.0,1.768,0.0125,goal_reached
0,0.0271,956.07,138,0.0,1.893,0.0106,goal_reached
1,0.153,802.96,138,0.64,1.93,0.1465,propeller_collision
1,0.1432,947.09,139,0.86,1.948,0.1432,tilt
0,0.0676,946.88,141,0.4,1.797,0.0593,goal_reached
0,0.0322,977.56,142,0.0,1.927,0.0094,goal_reached
1,0.0907,1009.72,144,0.52,1.682,0.0907,tilt
0,0.1022,886.39,145,0.46,1.961,0.1022,propeller_collision
0,0.143,1019.1,145,0.2,1.596,0.143,tilt
1,0.1304,946.07,145,0.54,1.842,0.1304,tilt
0,0.0301,989.76,145,0.0,1.702,0.0301,goal_reached
0,0.0894,958.7,145,0.2,1.723,0.0894,tilt
0,0.0909,913.62,146,0.34,1.833,0.0909,tilt
0,0.0907,901.26,147,0.4,2.04,0.0907,tilt
0,0.0,406.52,99,0.0,1.47,-0.0067,tilt
0,0.0249,1027.89,148,0.0,1.926,0.0089,goal_reached
1,0.101,1039.58,150,0.66,1.741,0.101,tilt
1,0.0859,1065.88,152,0.54,1.601,0.0859,tilt
0,0.0968,1054.58,155,0.42,2.209,0.0968,propeller_collision
1,0.2167,1047.03,157,1.18,1.936,0.2167,tilt
0,0.095,1075.66,157,0.2,2.097,0.093,propeller_collision
0,0.0892,1084.78,159,0.34,2.263,0.0888,tilt
1,0.139,1138.44,162,0.76,2.266,0.139,tilt
1,0.1425,1098.03,162,0.52,2.248,0.1425,tilt
0,0.0899,1056.93,164,0.26,2.273,0.0899,tilt
1,0.1162,1105.72,165,0.84,2.395,0.1092,goal_reached
0,0.091,1101.28,169,0.28,2.203,0.091,tilt
1,0.0891,1220.74,173,0.6,2.025,0.0891,tilt
0,0.0,165.33,24,0.0,0.155,-0.0117,tilt
0,0.0886,1235.41,177,0.36,2.112,0.0886,tilt
1,0.1388,1276.17,186,0.98,2.539,0.1388,tilt
0,0.0592,659.25,108,0.08,1.309,0.0592,goal_reached
0,0.0,369.16,78,0.0,0.771,-0.0101,tilt
0,0.0217,829.14,120,0.0,1.538,0.0077,goal_reached
0,0.1224,772.38,116,0.44,1.492,0.1224,tilt
0,0.0403,807.03,118,0.02,1.559,0.0161,goal_reached
0,0.0525,767.52,119,0.1,1.509,0.0521,goal_reached
0,0.0192,699.87,106,0.0,1.199,0.0087,goal_reached
0,0.027,707.4,104,0.0,1.258,0.0104,goal_reached
0,0.0325,706.87,114,0.0,1.171,0.0098,goal_reached
0,0.0908,791.07,122,0.08,1.057,0.0908,tilt
0,0.0898,770.89,115,0.22,1.37,0.0898,tilt
0,0.0124,559.6,91,0.0,0.948,0.0075,goal_reached
0,0.0254,682.64,101,0.0,1.272,0.0093,goal_reached
0,0.0315,920.87,134,0.0,1.619,0.0315,goal_reached
0,0.0399,799.74,118,0.0,1.205,0.0399,tilt
0,0.0379,672.53,102,0.0,0.942,0.0379,tilt
0,0.0311,623.0,100,0.0,1.264,0.0066,goal_reached
0,0.0543,617.52,107,0.06,1.434,0.0543,tilt
0,0.0363,683.16,102,0.0,1.299,0.0105,goal_reached
0,0.065,782.56,118,0.08,1.496,0.065,goal_reached
0,0.0035,409.4,95,0.0,1.495,0.0035,tilt
0,0.0309,674.53,99,0.0,1.245,0.0133,goal_reached
0,0.0631,667.41,136,0.12,1.652,0.0631,tilt
0,0.0431,587.66,84,0.04,1.009,0.0431,tilt
0,0.0385,658.31,117,0.0,1.229,0.0385,tilt
0,0.0383,640.03,105,0.0,1.342,0.0139,goal_reached
0,0.0596,740.19,115,0.08,1.48,0.0596,goal_reached
0,0.0894,841.31,129,0.24,1.791,0.0894,tilt
0,0.0909,894.15,134,0.24,1.592,0.0909,tilt
0,0.1102,657.58,123,0.1,1.355,0.1102,tilt
1,0.1108,1080.37,154,0.74,1.872,0.1095,goal_reached
0,0.0281,650.33,101,0.0,1.136,0.0071,goal_reached
0,0.0385,886.2,126,0.0,1.593,0.0135,goal_reached
0,0.0403,643.24,116,0.02,1.57,0.0403,tilt
0,0.0381,638.94,100,0.0,0.874,0.0381,tilt
0,0.022,852.04,129,0.0,1.74,0.0157,goal_reached
0,0.0,379.91,102,0.0,1.567,-0.0102,tilt
0,0.1058,1033.24,161,0.44,2.244,0.1058,propeller_collision
0,0.026,962.39,145,0.0,1.737,0.0222,goal_reached
0,0.0304,617.96,101,0.0,1.052,0.0132,goal_reached
0,0.075,831.88,124,0.46,1.729,0.0652,goal_reached
0,0.0126,467.67,116,0.0,1.567,-0.0004,tilt
0,0.0562,918.85,137,0.1,1.68,0.0562,goal_reached
0,0.0356,957.64,140,0.0,1.883,0.0261,goal_reached
0,0.0923,805.86,121,0.24,1.477,0.0923,tilt
0,0.0343,978.22,141,0.0,1.952,0.0113,goal_reached
0,0.0423,662.83,102,0.02,0.849,0.0423,tilt
0,0.0648,1122.1,163,0.26,2.171,0.0646,goal_reached
0,0.0754,923.43,136,0.44,1.814,0.0677,goal_reached
0,0.061,886.69,139,0.16,1.748,0.0591,goal_reached
0,0.0302,950.68,139,0.0,1.715,0.0302,goal_reached
0,0.0887,759.06,122,0.26,1.392,0.0887,tilt
0,0.0455,959.78,138,0.1,1.943,0.0112,goal_reached
0,0.0728,1175.66,165,0.3,2.025,0.0728,goal_reached
0,0.0434,737.55,140,0.02,1.601,0.0434,tilt
0,0.0654,1060.37,154,0.38,1.707,0.0622,goal_reached
1,0.1568,1227.58,179,1.0,2.553,0.1568,tilt
0,0.0982,1126.48,167,0.2,2.118,0.0974,tilt
1,0.1264,1131.92,164,0.9,2.498,0.1148,goal_reached
0,0.042,573.37,94,0.06,1.28,0.0251,goal_reached
0,0.0,363.55,80,0.0,1.001,-0.0106,tilt
0,0.0268,579.69,94,0.0,1.167,0.0091,goal_reached
0,0.0462,594.77,91,0.08,1.194,0.0131,goal_reached
1,0.1413,1276.29,186,1.16,2.557,0.1413,tilt
0,0.03,611.05,92,0.0,1.139,0.0108,goal_reached
0,0.029,884.19,129,0.0,1.762,0.0082,goal_reached
1,0.1481,1005.7,152,0.62,1.928,0.1481,propeller_collision
0,0.0379,778.24,112,0.0,1.49,0.0117,goal_reached
0,0.0575,517.98,101,0.16,1.41,0.0468,tilt
1,0.1399,1094.3,167,0.9,1.942,0.1399,tilt
1,0.1074,1139.57,172,0.82,2.384,0.1074,goal_reached
0,0.0242,809.46,117,0.0,1.511,0.0113,goal_reached
0,0.0588,855.03,133,0.12,1.714,0.0588,goal_reached
0,0.0392,773.14,112,0.0,1.241,0.0392,tilt
0,0.0473,806.8,123,0.04,1.479,0.0473,goal_reached
0,0.0569,532.79,98,0.14,1.4,0.0548,tilt
0,0.0196,594.58,92,0.0,0.873,0.0122,goal_reached
0,0.0312,777.14,114,0.0,1.496,0.0099,goal_reached
0,0.0352,746.1,114,0.0,1.337,0.0205,goal_reached
0,0.1057,838.92,132,0.18,1.679,0.0951,tilt
0,0.0888,920.08,141,0.2,1.761,0.0888,tilt
0,0.0696,1117.7,161,0.32,2.006,0.0579,goal_reached
0,0.0619,980.36,139,0.1,1.569,0.0619,tilt
0,0.0652,1145.95,163,0.2,1.997,0.0634,goal_reached
0,0.0929,742.96,143,0.22,1.457,0.0929,propeller_collision
0,0.0449,876.41,126,0.02,1.466,0.0449,goal_reached
0,0.0283,636.35,100,0.0,1.212,0.0141,goal_reached
0,0.091,1214.33,173,0.32,2.114,0.091,tilt
0,0.082,1217.08,175,0.24,1.907,0.082,tilt
0,0.0355,766.08,112,0.0,1.495,0.0092,goal_reached
0,0.0892,1012.77,154,0.26,2.176,0.0892,tilt
1,0.0923,992.19,142,0.5,1.535,0.0923,tilt
0,0.0455,1011.5,142,0.02,1.525,0.0455,tilt
0,0.0314,901.12,133,0.0,1.95,0.0083,goal_reached
0,0.0948,987.74,150,0.2,2.091,0.0933,tilt
0,0.0932,921.57,135,0.4,1.785,0.0932,tilt
0,0.052,827.44,128,0.1,1.577,0.052,goal_reached
0,0.0947,635.93,138,0.22,1.92,0.0947,tilt
0,0.1077,647.41,122,0.14,1.777,0.1077,tilt
0,0.0644,953.04,139,0.12,1.698,0.0615,goal_reached
0,0.0895,636.16,125,0.32,1.608,0.0895,tilt
0,0.1089,821.81,143,0.44,1.707,0.1089,tilt
0,0.0555,913.06,148,0.06,1.745,0.0555,tilt
0,0.0601,719.64,110,0.08,1.026,0.0601,tilt
0,0.0635,864.6,132,0.04,1.761,0.0635,tilt
0,0.0274,948.94,138,0.0,1.726,0.0207,goal_reached
0,0.0,406.47,91,0.0,1.24,-0.01,tilt
0,0.0256,856.45,124,0.0,1.502,0.0096,goal_reached
0,0.03,643.17,97,0.0,1.176,0.0084,goal_reached
0,0.0242,1004.73,146,0.0,1.941,0.0096,goal_reached
0,0.0653,1012.61,142,0.32,1.458,0.0653,tilt
0,0.0912,879.96,132,0.18,1.567,0.0912,tilt
0,0.0698,1020.6,158,0.38,1.832,0.0698,tilt
0,0.0283,956.98,138,0.0,1.862,0.0101,goal_reached
0,0.0379,628.5,100,0.0,1.265,0.0112,goal_reached
0,0.0656,1091.8,164,0.42,2.332,0.0565,goal_reached
0,0.0883,694.86,116,0.28,1.571,0.0883,tilt
0,0.0,167.86,24,0.0,0.152,-0.0128,tilt
0,0.0,366.49,88,0.0,1.063,-0.0104,tilt
0,0.0907,1134.07,161,0.46,1.952,0.0907,tilt
1,0.107,1023.3,156,0.64,1.951,0.107,goal_reached
1,0.1177,981.06,156,0.5,2.025,0.1177,propeller_collision
1,0.157,1093.27,165,1.02,2.11,0.157,tilt
0,0.0676,1074.46,152,0.14,1.927,0.0676,tilt
0,0.0481,589.17,99,0.04,1.093,0.0481,goal_reached
0,0.0537,604.69,104,0.1,1.1,0.0537,goal_reached
1,0.1414,1017.59,147,0.92,1.679,0.1414,tilt
0,0.0411,566.18,107,0.02,1.353,0.0411,tilt
0,0.0629,730.78,117,0.1,1.684,0.0629,goal_reached
0,0.0161,591.04,94,0.0,0.926,0.0148,goal_reached
1,0.1166,1126.96,174,0.52,2.371,0.1166,propeller_collision
0,0.0255,931.48,137,0.0,1.857,0.0068,goal_reached
0,0.0293,989.6,140,0.0,1.835,0.013,goal_reached
1,0.1402,1006.38,164,0.62,2.304,0.1402,propeller_collision
0,0.0242,904.36,132,0.0,1.666,0.0063,goal_reached
