cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0,321.09,60,0.0,0.897,-0.0103,tilt
0,0.0,300.27,69,0.0,1.11,-0.0059,tilt
0,0.0,310.96,69,0.0,1.006,-0.0088,tilt
0,0.0,314.0,73,0.0,1.2,-0.0108,tilt
0,0.0764,354.45,74,0.24,1.276,0.0323,tilt
0,0.0402,350.48,77,0.02,1.236,0.0402,tilt
0,0.0523,339.63,78,0.04,1.3,0.0523,tilt
0,0.0636,367.64,80,0.16,1.378,0.0636,tilt
0,0.0,318.01,80,0.0,1.429,-0.0112,tilt
0,0.0547,465.34,81,0.06,1.445,0.0547,tilt
0,0.003,344.62,82,0.0,1.53,0.003,tilt
0,0.0338,373.45,83,0.02,1.469,0.0338,tilt
0,0.0136,346.79,84,0.0,1.567,0.0136,tilt
0,0.0051,399.92,86,0.0,1.569,0.0051,tilt
0,0.0695,434.77,87,0.16,1.444,0.0695,tilt
0,0.0186,598.7,89,0.0,1.228,0.0043,goal_reached
0,0.0467,532.74,90,0.1,1.297,0.0435,goal_reached
0,0.029,540.63,90,0.0,1.34,0.0277,tilt
0,0.05,367.67,91,0.22,1.568,0.0334,tilt
0,0.0804,597.46,91,0.12,1.291,0.0804,tilt
0,0.0722,529.57,91,0.26,1.448,0.0722,tilt
0,0.0192,438.61,91,0.0,1.64,0.0192,tilt
0,0.0337,449.75,91,0.02,1.515,0.0337,tilt
0,0.0611,428.81,93,0.14,1.636,0.0611,tilt
0,0.0611,428.81,93,0.14,1.636,0.0611,tilt
0,0.0548,581.34,93,0.3,1.459,0.0391,goal_reached
0,0.0433,634.78,94,0.16,1.448,0.0356,tilt
0,0.0603,535.82,96,0.32,1.673,0.037,goal_reached
0,0.0685,631.72,97,0.32,1.504,0.041,goal_reached
0,0.0332,504.53,98,0.02,1.782,0.0332,tilt
0,0.0716,645.17,98,0.3,1.436,0.0422,goal_reached
0,0.0622,651.95,98,0.04,1.437,0.0622,tilt
0,0.0657,561.29,100,0.4,1.715,0.0657,goal_reached
0,0.0828,504.72,101,0.14,1.874,0.0828,tilt
0,0.0308,672.32,101,0.0,1.592,0.0308,tilt
0,0.0806,628.63,102,0.18,1.467,0.0707,tilt
0,0.0782,502.29,103,0.36,1.744,0.0515,tilt
0,0.0542,683.68,104,0.32,1.542,0.0427,goal_reached
0,0.0687,554.36,104,0.36,1.453,0.0687,tilt
0,0.0856,527.34,105,0.08,1.899,0.0856,tilt
0,0.0937,522.9,105,0.24,2.053,0.0937,tilt
0,0.128,689.46,107,0.48,1.61,0.128,tilt
0,0.0602,692.13,107,0.08,1.659,0.0602,tilt
1,0.0758,728.9,108,0.5,1.506,0.0758,tilt
0,0.1058,658.46,108,0.14,1.77,0.1058,tilt
1,0.114,598.23,112,0.62,1.888,0.114,tilt
0,0.031,610.63,113,0.0,1.914,0.031,tilt
0,0.0615,569.78,115,0.46,1.753,0.0615,goal_reached
1,0.092,609.2,120,0.64,2.203,0.092,tilt
1,0.15,583.72,120,0.5,2.141,0.15,tilt
0,0.0692,630.42,120,0.34,1.859,0.0692,tilt
0,0.0726,614.45,121,0.48,1.977,0.0726,tilt
1,0.1289,618.29,124,0.5,2.142,0.1289,tilt
1,0.1185,662.31,124,0.58,2.145,0.1185,tilt
1,0.1048,636.46,125,0.68,2.06,0.0941,goal_reached
0,0.0716,678.98,125,0.38,2.059,0.0716,tilt
1,0.1519,681.64,138,1.1,2.33,0.1519,tilt
1,0.1144,703.63,140,0.56,2.398,0.1144,tilt
0,0.0633,716.03,141,0.22,2.096,0.0507,tilt
1,0.1509,729.03,143,1.18,2.255,0.1509,tilt
0,0.0497,877.35,157,0.12,2.11,0.0497,tilt
0,0.054,442.74,79,0.08,1.077,0.054,tilt
0,0.0136,457.45,76,0.0,0.972,0.0049,goal_reached
0,0.0656,491.19,106,0.18,1.927,0.0656,tilt
1,0.0702,489.13,88,0.62,1.406,0.0702,tilt
0,0.0546,475.6,90,0.1,1.278,0.0546,tilt
0,0.0379,356.08,81,0.02,1.372,0.0379,tilt
0,0.0463,518.25,99,0.12,1.619,0.0003,goal_reached
0,0.1026,575.93,101,0.48,1.601,0.1026,tilt
0,0.0533,565.17,106,0.28,1.689,0.0376,goal_reached
0,0.0731,423.18,89,0.08,1.614,0.0731,tilt
1,0.1634,1019.68,179,1.46,2.651,0.1634,tilt
0,0.0,389.87,84,0.0,1.427,-0.0101,tilt
1,0.0875,643.42,110,0.5,1.585,0.0875,tilt
0,0.0,333.07,80,0.0,1.444,-0.0089,tilt
0,0.0337,585.26,89,0.02,1.467,0.0337,tilt
0,0.0689,574.59,106,0.3,1.499,0.0689,tilt
0,0.0379,527.25,102,0.12,1.807,0.0339,tilt
0,0.0661,361.27,83,0.18,1.473,0.0332,tilt
0,0.0,327.54,81,0.0,1.349,-0.0076,tilt
0,0.0713,510.42,104,0.2,1.877,0.0713,tilt
0,0.0361,579.12,89,0.08,1.176,0.0025,goal_reached
0,0.0394,595.47,90,0.06,1.344,0.0394,tilt
0,0.0621,506.03,104,0.18,1.925,0.0348,tilt
0,0.0783,585.01,93,0.38,1.487,0.0783,tilt
0,0.0325,589.96,90,0.02,1.136,0.0325,tilt
0,0.0448,481.37,85,0.1,1.405,0.0443,tilt
0,0.0706,574.16,105,0.4,1.641,0.0706,tilt
0,0.0598,1119.26,198,0.1,1.861,0.0598,tilt
0,0.0806,546.65,99,0.16,1.991,0.0806,tilt
0,0.0856,662.99,107,0.28,1.429,0.0693,tilt
0,0.0719,477.45,87,0.18,1.286,0.0719,tilt
0,0.0561,395.77,88,0.18,1.605,0.0311,tilt
0,0.0627,669.89,109,0.44,1.669,0.0627,goal_reached
0,0.0533,516.54,97,0.08,1.661,0.0533,tilt
0,0.0702,437.5,89,0.2,1.677,0.0702,tilt
0,0.0724,615.38,120,0.32,2.204,0.0724,tilt
0,0.0877,616.57,114,0.24,1.821,0.0693,tilt
0,0.0762,434.08,85,0.14,1.308,0.0762,tilt
1,0.1469,701.64,121,0.88,1.877,0.1469,tilt
0,0.0477,442.79,87,0.1,1.407,0.0477,tilt
0,0.0711,612.74,105,0.38,1.504,0.0711,tilt
0,0.0485,401.05,93,0.04,1.664,0.0485,tilt
1,0.1344,680.38,109,0.5,1.587,0.1344,tilt
0,0.094,317.07,74,0.1,1.295,0.094,tilt
1,0.1088,658.21,118,0.74,1.884,0.1088,tilt
0,0.0544,450.7,94,0.14,1.536,0.0544,tilt
0,0.0762,617.18,115,0.36,2.185,0.0762,tilt
0,0.0985,522.26,110,0.2,2.075,0.0985,tilt
1,0.1111,665.65,120,0.66,1.706,0.1111,tilt
0,0.0458,551.52,105,0.36,1.56,0.0402,goal_reached
1,0.0904,666.97,119,0.54,1.809,0.0904,tilt
0,0.0442,536.95,90,0.08,1.336,0.0437,goal_reached
0,0.0548,381.73,88,0.18,1.475,0.0376,tilt
1,0.1171,667.65,139,0.8,1.835,0.1171,propeller_collision
0,0.0608,369.48,65,0.16,1.038,0.0308,tilt
1,0.1226,646.87,116,0.58,1.759,0.1226,tilt
1,0.1285,713.89,133,0.76,2.265,0.1131,tilt
1,0.1522,897.46,155,1.64,2.423,0.1522,tilt
0,0.0357,342.46,76,0.06,1.293,0.0357,tilt
0,0.0308,384.13,79,0.0,1.104,0.0308,tilt
1,0.1124,647.19,128,0.76,2.182,0.1124,tilt
0,0.106,406.33,93,0.1,1.683,0.106,tilt
1,0.1207,808.25,164,1.36,2.606,0.1092,goal_reached
