cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0063,514.4,79,0.0,1.009,0.0057,goal_reached
0,0.0301,529.6,83,0.0,0.977,0.0215,goal_reached
0,0.0362,548.46,85,0.1,1.013,-0.0012,goal_reached
0,0.0258,539.23,85,0.0,1.067,-0.0028,goal_reached
0,0.033,539.41,85,0.04,1.12,0.0,goal_reached
0,0.0411,545.14,85,0.12,1.089,0.0078,goal_reached
0,0.0258,539.23,85,0.0,1.067,-0.0028,goal_reached
0,0.0311,536.95,85,0.0,1.08,0.0016,goal_reached
0,0.0565,549.4,87,0.2,1.106,-0.0022,goal_reached
0,0.0448,561.61,90,0.14,1.248,0.0101,goal_reached
0,0.0287,594.15,94,0.0,1.254,-0.0029,goal_reached
0,0.0374,598.54,95,0.1,1.387,-0.0001,goal_reached
0,0.0556,608.56,96,0.2,1.21,-0.0034,goal_reached
0,0.0336,609.14,96,0.06,1.167,-0.0031,goal_reached
0,0.0578,611.85,97,0.18,1.241,0.0445,goal_reached
0,0.0444,613.87,97,0.16,1.309,0.015,goal_reached
0,0.0424,613.95,98,0.14,1.396,0.0055,goal_reached
0,0.0429,640.98,98,0.02,1.217,0.0429,goal_reached
0,0.1227,644.49,99,0.14,1.275,0.1227,goal_reached
0,0.0555,636.1,100,0.2,1.298,0.0354,goal_reached
0,0.0386,650.12,102,0.1,1.308,-0.0027,goal_reached
0,0.0074,652.52,102,0.0,1.289,0.0019,goal_reached
0,0.0618,661.16,102,0.06,1.33,0.0618,goal_reached
0,0.0109,652.92,103,0.0,1.373,0.0051,goal_reached
0,0.0147,645.44,103,0.0,1.447,-0.0006,goal_reached
0,0.0922,693.73,106,0.12,1.364,0.0922,goal_reached
0,0.0488,671.41,106,0.18,1.339,0.0073,goal_reached
0,0.0449,682.83,107,0.14,1.411,0.0014,goal_reached
0,0.0485,703.22,107,0.38,1.45,0.0374,goal_reached
0,0.0874,686.25,107,0.12,1.471,0.0874,tilt
0,0.0423,689.65,109,0.14,1.464,-0.0039,goal_reached
0,0.0254,689.47,109,0.0,1.452,-0.0033,goal_reached
0,0.0134,693.15,110,0.0,1.519,-0.0019,goal_reached
0,0.0056,700.06,110,0.0,1.455,-0.0013,goal_reached
0,0.0345,699.45,110,0.06,1.475,-0.0003,goal_reached
0,0.1269,730.78,111,0.48,1.529,0.1269,tilt
0,0.0596,726.02,111,0.44,1.638,0.0596,goal_reached
0,0.0403,735.01,111,0.32,1.462,0.0394,goal_reached
0,0.0183,698.37,111,0.0,1.555,-0.0034,goal_reached
0,0.0364,732.41,113,0.08,1.384,0.0314,tilt
0,0.0372,778.82,116,0.08,1.141,0.0305,tilt
0,0.0417,769.97,117,0.34,1.565,0.0414,goal_reached
0,0.0293,732.89,117,0.0,1.717,0.0029,goal_reached
0,0.051,793.44,119,0.42,1.457,0.0383,goal_reached
0,0.0889,783.37,120,0.22,1.581,0.0789,goal_reached
0,0.0223,754.66,121,0.0,1.774,-0.0025,goal_reached
0,0.0475,766.93,121,0.16,1.609,0.0003,goal_reached
0,0.0053,747.49,121,0.0,1.892,-0.0014,goal_reached
0,0.0189,780.7,124,0.0,1.754,-0.0023,goal_reached
0,0.053,767.86,124,0.18,1.845,0.0074,goal_reached
0,0.0163,783.43,126,0.0,1.892,0.0011,goal_reached
0,0.0656,829.25,126,0.48,1.636,0.0656,goal_reached
1,0.1218,848.47,127,0.58,1.601,0.1218,goal_reached
0,0.0526,827.78,130,0.04,1.811,0.0526,goal_reached
0,0.0461,827.82,130,0.02,1.834,0.0461,goal_reached
0,0.0007,826.12,131,0.0,1.844,0.0004,goal_reached
0,0.0185,832.68,133,0.0,1.799,-0.0025,goal_reached
0,0.0275,853.94,135,0.0,1.904,-0.0017,goal_reached
0,0.0011,915.86,143,0.0,1.781,0.0011,goal_reached
1,0.1146,956.4,143,0.84,1.771,0.0783,goal_reached
1,0.1319,986.87,146,0.92,1.767,0.1124,tilt
1,0.1098,988.27,146,1.08,1.853,0.0788,goal_reached
0,0.0357,489.8,77,0.08,0.978,0.021,goal_reached
0,0.0022,555.78,86,0.0,1.085,-0.0013,goal_reached
1,0.1036,1168.88,177,0.58,2.264,0.1036,goal_reached
0,0.0063,519.53,80,0.0,0.912,-0.0027,goal_reached
0,0.0297,620.77,98,0.0,1.37,0.0002,goal_reached
0,0.0452,689.91,104,0.4,1.449,0.0392,goal_reached
0,0.037,654.03,103,0.1,1.343,0.0007,goal_reached
0,0.0413,640.02,101,0.12,1.363,0.0021,goal_reached
1,0.0989,1256.31,191,0.7,2.467,0.0934,goal_reached
0,0.0214,574.23,91,0.0,1.293,-0.0009,goal_reached
0,0.0367,663.16,107,0.08,1.732,-0.0022,goal_reached
0,0.0307,611.28,97,0.0,1.28,-0.0039,goal_reached
0,0.0113,622.83,96,0.0,1.318,0.0113,goal_reached
0,0.0708,646.71,102,0.24,1.36,0.0104,goal_reached
0,0.0284,656.39,103,0.0,1.331,-0.0026,goal_reached
0,0.0635,834.02,121,0.26,1.296,0.0635,tilt
0,0.0023,713.12,110,0.0,1.15,-0.003,goal_reached
0,0.0,640.6,99,0.0,1.23,-0.0033,goal_reached
0,0.037,676.15,107,0.08,1.363,0.0003,goal_reached
0,0.0761,550.94,86,0.28,1.075,0.0104,goal_reached
