cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0209,390.95,75,0.0,0.843,-0.0037,goal_reached
0,0.0121,422.05,83,0.0,0.973,-0.0015,goal_reached
0,0.007,463.92,85,0.0,0.898,-0.0096,goal_reached
0,0.0195,463.49,85,0.0,0.97,0.0195,tilt
0,0.0661,556.41,102,0.2,1.348,0.0533,goal_reached
0,0.0511,540.39,106,0.04,1.537,0.0511,goal_reached
0,0.0796,597.36,106,0.34,1.343,0.0213,goal_reached
0,0.0587,617.29,107,0.1,1.246,0.0587,tilt
0,0.0777,618.23,109,0.4,1.41,0.0301,goal_reached
0,0.045,624.09,111,0.24,1.153,0.0378,tilt
0,0.0213,551.43,114,0.0,1.675,-0.0029,goal_reached
0,0.0387,554.33,114,0.16,1.649,0.0339,goal_reached
0,0.013,568.54,115,0.0,1.661,-0.0107,goal_reached
0,0.0551,603.19,115,0.1,1.531,0.0551,goal_reached
0,0.061,612.57,116,0.08,1.625,0.061,goal_reached
0,0.0692,607.13,116,0.1,1.637,0.0692,goal_reached
0,0.0521,649.83,117,0.22,1.465,0.0162,goal_reached
0,0.0119,572.8,118,0.0,1.596,-0.0045,goal_reached
0,0.0161,588.58,119,0.0,1.691,-0.0074,goal_reached
0,0.0687,624.76,119,0.12,1.641,0.0687,goal_reached
1,0.1012,693.77,121,0.62,1.349,0.0759,tilt
0,0.1324,722.55,124,0.42,1.648,0.1324,tilt
0,0.0976,735.88,126,0.26,1.533,0.0976,goal_reached
0,0.0652,676.62,129,0.14,1.775,0.065,goal_reached
0,0.0962,782.06,131,0.42,1.739,0.0516,goal_reached
0,0.0879,715.85,134,0.32,1.87,0.0273,goal_reached
0,0.0845,765.52,135,0.3,1.731,0.0845,goal_reached
0,0.0389,679.16,135,0.04,1.903,0.0389,tilt
0,0.126,807.74,136,0.46,1.753,0.0515,goal_reached
0,0.0941,811.74,137,0.44,1.76,0.0527,goal_reached
0,0.0768,800.9,138,0.32,1.716,0.0768,tilt
0,0.0801,828.23,139,0.48,1.743,0.0466,goal_reached
1,0.0951,847.97,141,0.54,1.792,0.0951,tilt
1,0.0976,884.96,145,0.64,1.838,0.0976,tilt
1,0.0928,881.44,146,0.54,1.762,0.0487,goal_reached
0,0.0504,792.13,149,0.28,2.107,0.0272,goal_reached
1,0.0833,890.03,152,1.0,1.815,0.083,tilt
0,0.0517,860.35,155,0.18,2.026,0.0517,tilt
0,0.0887,922.68,159,0.42,2.073,0.0514,goal_reached
1,0.1374,958.22,161,0.54,2.172,0.1374,goal_reached
1,0.0681,881.94,162,0.62,2.087,0.0681,tilt
0,0.0966,875.61,162,0.3,2.208,0.0966,tilt
0,0.0314,866.84,166,0.12,2.315,0.0239,goal_reached
0,0.1127,981.49,166,0.46,2.091,0.0501,goal_reached
0,0.0486,922.25,167,0.12,2.061,0.0486,tilt
0,0.1495,925.36,168,0.36,2.261,0.1495,tilt
1,0.1329,1013.34,170,0.6,2.19,0.1329,goal_reached
1,0.0999,1037.79,171,1.06,2.247,0.0866,goal_reached
1,0.0974,1002.96,172,0.56,2.326,0.0974,goal_reached
1,0.1449,1006.06,173,0.7,2.344,0.1449,goal_reached
0,0.0352,912.59,173,0.14,2.292,0.0168,goal_reached
1,0.1119,1030.62,173,0.72,2.147,0.1096,tilt
0,0.0631,937.02,176,0.14,2.458,0.0631,goal_reached
1,0.1421,1065.47,177,0.8,2.239,0.1411,goal_reached
0,0.0592,933.18,177,0.36,2.304,0.0249,goal_reached
0,0.0483,591.2,103,0.4,1.371,0.0483,tilt
1,0.0673,985.64,184,0.64,2.496,0.0673,tilt
0,0.0862,994.34,185,0.36,2.502,0.0862,tilt
1,0.1133,1086.86,186,0.9,2.308,0.1133,tilt
0,0.0292,477.41,87,0.02,1.166,0.0292,goal_reached
1,0.1394,1038.89,191,0.72,2.53,0.0864,tilt
1,0.1022,1054.82,194,0.5,2.738,0.1022,tilt
0,0.0224,432.29,83,0.0,1.042,0.0217,tilt
0,0.0,564.26,119,0.0,1.802,-0.0123,goal_reached
1,0.0984,1150.51,204,0.64,2.557,0.0984,tilt
0,0.0202,581.7,121,0.0,1.804,-0.0037,goal_reached
1,0.1319,1246.61,213,1.08,2.903,0.1222,tilt
0,0.0202,647.52,132,0.0,1.955,0.0199,tilt
1,0.1169,1255.1,220,0.86,3.114,0.1128,tilt
0,0.0302,548.2,113,0.1,1.672,0.0089,goal_reached
1,0.1119,1261.02,222,0.82,2.992,0.1091,tilt
0,0.0616,567.72,107,0.06,1.509,0.0616,goal_reached
0,0.0771,620.54,119,0.14,1.678,0.0771,goal_reached
0,0.0836,620.12,110,0.34,1.469,0.0208,goal_reached
0,0.0275,536.1,111,0.1,1.603,0.0201,goal_reached
0,0.078,645.94,124,0.1,1.758,0.078,goal_reached
0,0.0994,622.15,120,0.12,1.766,0.0994,goal_reached
0,0.0489,609.34,126,0.2,1.86,0.0414,goal_reached
0,0.0132,551.65,114,0.0,1.629,-0.0024,goal_reached
0,0.0714,764.55,144,0.3,2.02,0.0195,goal_reached
0,0.0804,627.51,120,0.2,1.728,0.0764,goal_reached
0,0.0777,784.25,146,0.3,2.002,0.0186,goal_reached
0,0.0081,413.23,77,0.0,0.892,-0.0015,goal_reached
0,0.1001,699.83,119,0.28,1.536,0.1001,goal_reached
0,0.0584,568.19,107,0.12,1.53,0.0584,goal_reached
0,0.0607,782.46,145,0.32,1.982,0.0182,goal_reached
0,0.0789,809.74,135,0.48,1.812,0.0478,goal_reached
0,0.0299,389.86,73,0.04,0.958,0.0299,tilt
1,0.108,845.79,146,0.52,2.033,0.0884,tilt
0,0.0768,666.81,117,0.12,1.71,0.0768,goal_reached
0,0.0692,679.19,115,0.18,1.418,0.0692,tilt
1,0.1576,1078.02,177,1.2,2.15,0.1576,tilt
0,0.1044,896.54,153,0.46,2.045,0.0461,goal_reached
0,0.0188,452.33,86,0.0,1.052,0.0188,tilt
0,0.069,681.38,116,0.26,1.42,0.069,tilt
1,0.1682,1090.62,179,1.06,2.391,0.1682,tilt
0,0.1112,707.66,119,0.34,1.618,0.1112,goal_reached
1,0.1298,954.59,172,0.58,2.015,0.1298,tilt
0,0.0843,914.37,171,0.22,2.456,0.0843,goal_reached
0,0.0271,409.72,77,0.02,0.963,0.0271,tilt
0,0.0719,717.3,136,0.32,1.987,0.0288,goal_reached
1,0.1146,1032.13,170,0.84,2.069,0.077,tilt
0,0.1164,1038.91,186,0.48,2.546,0.0473,goal_reached
1,0.0954,904.94,154,0.5,2.03,0.0753,goal_reached
0,0.0543,835.7,154,0.22,2.034,0.052,tilt
0,0.1108,868.54,151,0.42,2.02,0.087,goal_reached
0,0.0825,612.41,117,0.12,1.707,0.0825,goal_reached
0,0.0687,931.28,173,0.28,2.459,0.0687,goal_reached
0,0.0538,769.53,147,0.28,2.025,0.0449,goal_reached
0,0.0676,761.75,143,0.26,2.068,0.0169,goal_reached
1,0.101,965.81,167,0.9,2.316,0.101,tilt
1,0.0892,827.44,143,0.8,1.9,0.0892,tilt
0,0.0585,762.14,142,0.44,1.972,0.0314,goal_reached
1,0.0829,1033.77,179,0.54,2.446,0.0829,tilt
1,0.0963,965.16,165,0.76,2.137,0.0963,tilt
0,0.0529,835.23,159,0.2,2.195,0.0189,goal_reached
0,0.0645,539.86,104,0.08,1.534,0.0645,goal_reached
1,0.075,908.25,154,0.5,2.069,0.0497,goal_reached
0,0.1062,828.38,142,0.42,1.83,0.0489,goal_reached
0,0.0307,624.15,125,0.04,1.851,0.0307,tilt
1,0.1394,968.07,164,0.78,2.269,0.1364,tilt
0,0.0206,433.36,84,0.0,1.079,0.0171,goal_reached
0,0.0669,602.18,116,0.1,1.676,0.0669,goal_reached
1,0.1347,991.01,168,0.74,2.325,0.1288,tilt
1,0.1172,1086.67,180,0.86,2.4,0.1172,tilt
1,0.1032,1018.02,169,0.72,2.207,0.1017,goal_reached
1,0.1968,1281.11,211,1.34,2.624,0.1263,tilt
1,0.0935,1330.5,227,0.84,3.009,0.0801,goal_reached
0,0.0908,1016.8,180,0.44,2.531,0.0509,goal_reached
0,0.0562,392.63,74,0.26,0.912,0.0418,tilt
0,0.0472,895.83,171,0.3,2.379,0.0177,goal_reached
0,0.0147,573.92,120,0.0,1.811,0.0146,goal_reached
0,0.0786,965.88,178,0.24,2.467,0.0786,goal_reached
1,0.0975,893.84,147,0.5,1.842,0.055,goal_reached
0,0.0576,724.61,138,0.24,2.036,0.0212,goal_reached
0,0.0239,395.63,78,0.0,0.979,0.0071,goal_reached
1,0.115,1160.06,188,0.96,2.482,0.1019,goal_reached
1,0.0835,912.68,158,0.54,2.124,0.0835,tilt
0,0.062,773.57,145,0.28,2.031,0.0203,goal_reached
1,0.1507,1278.47,209,1.4,2.668,0.1507,tilt
0,0.0484,767.95,144,0.18,2.034,0.0221,goal_reached
0,0.016,385.24,73,0.0,0.854,-0.0089,goal_reached
1,0.1635,1165.89,203,0.78,2.766,0.1635,tilt
0,0.0143,542.01,112,0.0,1.588,0.0072,goal_reached
0,0.0155,521.28,109,0.0,1.598,0.0114,goal_reached
0,0.0567,748.58,142,0.22,2.051,0.0195,goal_reached
1,0.0761,835.72,139,0.5,1.752,0.0482,goal_reached
0,0.1077,758.82,128,0.4,1.681,0.0818,tilt
0,0.0819,566.65,101,0.32,1.387,0.021,goal_reached
0,0.0666,608.92,105,0.3,1.577,0.0666,goal_reached
1,0.1095,1078.94,179,0.82,2.298,0.0766,goal_reached
1,0.1485,1164.27,191,1.12,2.406,0.1485,tilt
0,0.0234,633.84,127,0.0,1.763,0.0232,tilt
1,0.0945,957.76,159,0.54,2.164,0.0945,goal_reached
0,0.0575,574.59,115,0.1,1.747,0.0575,goal_reached
1,0.1175,723.91,124,0.58,1.665,0.1175,tilt
0,0.0919,838.06,142,0.38,1.951,0.0802,tilt
0,0.0585,565.07,107,0.06,1.52,0.0585,goal_reached
