cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0254,544.7,103,0.0,1.255,0.0254,goal_reached
0,0.0448,545.97,104,0.02,1.273,0.0448,goal_reached
0,0.0284,550.99,105,0.0,1.268,0.0284,tilt
0,0.0219,542.32,106,0.0,1.21,0.0043,goal_reached
0,0.0357,542.63,108,0.08,1.267,-0.0018,goal_reached
0,0.0101,557.85,113,0.0,1.472,-0.0007,goal_reached
0,0.1047,634.22,114,0.34,1.388,0.043,goal_reached
0,0.0817,647.79,115,0.3,1.396,0.0403,goal_reached
0,0.0383,580.25,116,0.1,1.45,-0.0004,goal_reached
0,0.1041,649.16,117,0.44,1.54,0.0522,goal_reached
0,0.0333,677.85,120,0.02,1.059,0.0333,tilt
0,0.0481,614.68,120,0.34,1.631,0.028,tilt
0,0.0985,683.63,123,0.42,1.619,0.0383,goal_reached
1,0.0719,723.94,124,0.56,1.38,0.0719,tilt
1,0.1002,725.42,127,0.52,1.419,0.0717,tilt
0,0.0603,684.02,127,0.3,1.675,0.0363,goal_reached
0,0.0669,721.37,127,0.38,1.56,0.0669,tilt
0,0.0768,708.24,128,0.36,1.656,0.0367,goal_reached
1,0.1709,736.31,130,0.6,1.731,0.1709,tilt
0,0.0442,723.18,130,0.38,1.7,0.0404,goal_reached
0,0.0483,669.69,131,0.1,1.714,0.0483,tilt
0,0.0682,750.9,134,0.18,1.303,0.0682,tilt
0,0.0432,677.11,135,0.14,1.86,0.0089,goal_reached
1,0.0816,800.79,136,0.62,1.66,0.0701,tilt
0,0.0098,681.69,136,0.0,1.825,-0.0008,goal_reached
0,0.0069,677.71,136,0.0,1.835,0.0069,goal_reached
1,0.0839,760.22,138,0.5,1.727,0.0429,goal_reached
1,0.124,798.37,138,0.7,1.572,0.124,tilt
0,0.1195,768.62,139,0.46,1.852,0.0922,tilt
0,0.0289,768.37,143,0.0,1.532,0.0289,tilt
0,0.0425,719.26,143,0.1,2.05,0.0425,tilt
1,0.1689,839.26,147,0.72,1.87,0.1689,tilt
1,0.1452,841.49,148,0.7,1.861,0.1452,tilt
0,0.0925,759.33,148,0.28,1.933,0.0517,tilt
