cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0261,485.49,75,0.0,0.856,-0.0005,goal_reached
0,0.0395,491.99,77,0.1,1.104,0.0313,goal_reached
0,0.0394,512.84,80,0.12,0.949,0.021,goal_reached
0,0.0437,519.28,81,0.14,0.936,-0.0018,goal_reached
0,0.0489,532.22,82,0.16,0.935,0.0131,goal_reached
0,0.0234,530.05,82,0.0,0.97,0.0006,goal_reached
0,0.0272,531.35,82,0.0,0.947,0.001,goal_reached
0,0.1328,580.06,90,0.22,1.299,0.1308,goal_reached
0,0.1085,619.9,94,0.22,1.265,0.1053,goal_reached
0,0.0447,614.96,95,0.32,1.435,0.0439,goal_reached
0,0.0819,620.95,96,0.24,1.425,0.0522,goal_reached
0,0.0836,617.91,96,0.3,1.507,0.0453,goal_reached
0,0.083,620.47,97,0.36,1.455,0.0407,goal_reached
0,0.0528,640.96,97,0.32,1.336,0.0378,goal_reached
0,0.0815,630.47,98,0.2,1.383,0.078,goal_reached
0,0.0585,651.64,99,0.36,1.362,0.0413,goal_reached
0,0.0712,647.99,99,0.32,1.353,0.0441,goal_reached
0,0.0603,655.21,100,0.26,1.406,0.0403,goal_reached
0,0.0616,667.09,101,0.4,1.459,0.0616,goal_reached
0,0.1081,651.78,101,0.32,1.494,0.0486,goal_reached
0,0.0764,664.96,102,0.26,1.337,0.0723,tilt
0,0.0786,655.06,102,0.28,1.506,0.0372,goal_reached
0,0.1005,694.66,106,0.4,1.477,0.0398,goal_reached
1,0.1104,694.0,106,0.56,1.59,0.1104,tilt
0,0.0332,669.67,107,0.06,1.605,0.0083,goal_reached
0,0.0368,669.53,107,0.08,1.625,-0.0013,goal_reached
0,0.1093,685.53,107,0.34,1.642,0.0431,goal_reached
0,0.0695,700.42,108,0.36,1.564,0.0404,goal_reached
0,0.067,699.54,108,0.3,1.603,0.0416,goal_reached
1,0.1364,720.66,110,0.56,1.623,0.1364,tilt
0,0.0435,687.39,111,0.12,1.669,0.0067,goal_reached
0,0.0694,727.52,113,0.3,1.688,0.0391,goal_reached
0,0.0865,727.96,114,0.34,1.715,0.0407,goal_reached
0,0.0878,731.44,114,0.36,1.713,0.0425,goal_reached
